date,month,day,weekday,high_temp,low_temp,weather,menu_1_sales,menu_2_sales,menu_3_sales,menu_4_sales,menu_5_sales,menu_6_sales,menu_7_sales,menu_8_sales,menu_9_sales,menu_10_sales,menu_11_sales,menu_12_sales,menu_13_sales,menu_14_sales,menu_15_sales,menu_16_sales,menu_17_sales,menu_18_sales,menu_19_sales,menu_20_sales,menu_21_sales,menu_22_sales,menu_23_sales,menu_24_sales,menu_25_sales,menu_26_sales,menu_27_sales,menu_28_sales,menu_29_sales,menu_30_sales,ice_drink_sales,hot_drink_sales,revenue
2022-01-01,1,1,5,3,-5,0,2,2,1,1,2,1,1,1,1,2,1,3,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,2,1,3,79,209,187729
2022-01-02,1,2,6,4,-1,0,2,3,3,2,1,1,1,3,1,1,3,1,3,1,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,80,216,117324
2022-01-03,1,3,0,1,-4,0,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,3,1,2,1,1,3,2,1,2,1,1,1,1,1,2,52,169,144103
2022-01-04,1,4,1,3,-3,0,1,2,2,1,2,2,3,1,1,1,1,1,1,2,1,1,2,1,1,4,1,1,2,1,1,1,2,2,3,3,50,132,108687
2022-01-05,1,5,2,0,-9,0,1,2,1,3,2,1,1,1,1,3,1,1,2,2,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,1,54,165,144803
2022-01-06,1,6,3,5,-3,0,1,2,1,1,2,2,1,2,2,2,2,1,3,2,2,2,1,1,1,3,1,1,2,3,1,3,2,1,1,1,55,149,100406
2022-01-07,1,7,4,8,0,0,1,3,1,2,2,1,2,3,1,1,2,1,1,2,3,3,2,2,3,2,1,1,1,3,2,1,3,2,1,2,61,178,144347
2022-01-08,1,8,5,5,0,2,1,1,2,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,47,174,125291
2022-01-09,1,9,6,6,0,0,2,3,2,1,1,1,1,2,1,1,2,2,2,2,3,1,2,2,1,3,2,1,2,2,3,1,2,2,1,1,54,209,118283
2022-01-10,1,10,0,0,-9,1,1,1,3,1,2,2,2,3,1,1,3,1,1,2,2,1,1,1,1,3,1,1,3,2,2,1,2,1,1,2,52,168,155298
2022-01-11,1,11,1,8,1,0,2,1,1,2,2,4,1,2,1,1,1,2,2,3,2,2,3,2,3,2,1,1,2,2,2,3,2,1,1,2,55,133,147438
2022-01-12,1,12,2,3,-5,2,0,0,0,1,0,1,0,1,0,0,1,2,1,1,2,1,0,1,1,0,0,2,0,0,1,0,0,1,1,0,46,137,111941
2022-01-13,1,13,3,9,3,0,2,1,2,1,1,1,2,1,3,1,3,2,2,2,1,1,5,2,2,1,1,1,1,2,1,1,1,1,1,1,61,159,167079
2022-01-14,1,14,4,1,-7,0,1,1,1,1,2,3,3,3,2,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,48,139,199513
2022-01-15,1,15,5,9,0,1,1,1,3,2,1,2,1,1,2,3,2,2,1,1,3,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2,73,176,193777
2022-01-16,1,16,6,6,-2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,3,4,1,4,2,2,1,1,1,1,2,3,2,2,2,69,225,197010
2022-01-17,1,17,0,0,-7,0,2,3,4,3,1,2,1,1,3,1,1,3,1,1,1,1,1,1,1,2,1,1,2,2,3,4,1,2,2,3,40,154,102021
2022-01-18,1,18,1,9,0,0,1,1,1,3,2,3,1,1,2,1,2,2,2,1,2,1,2,3,3,1,2,1,2,1,1,3,2,1,1,2,65,171,125639
2022-01-19,1,19,2,0,-7,1,4,1,1,2,1,4,2,2,4,3,2,1,1,1,1,1,1,1,3,1,2,2,2,1,2,1,1,1,1,3,60,164,192275
2022-01-20,1,20,3,7,-2,0,2,1,2,1,2,1,1,2,2,1,2,2,1,5,1,2,2,2,3,1,2,2,1,2,2,1,4,2,1,1,48,143,104829
2022-01-21,1,21,4,8,0,1,1,1,2,2,2,2,2,4,2,1,2,1,2,1,1,1,1,2,1,1,2,1,3,2,1,1,1,2,2,1,50,166,136480
2022-01-22,1,22,5,1,-5,0,1,2,2,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,64,230,165220
2022-01-23,1,23,6,3,-5,0,1,1,2,1,2,1,3,5,2,1,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,65,199,198298
2022-01-24,1,24,0,5,-2,0,3,2,3,2,1,2,2,1,1,2,4,3,1,2,3,1,1,1,2,2,2,1,3,1,2,1,1,1,2,1,53,148,127577
2022-01-25,1,25,1,6,-3,0,3,2,4,2,2,2,2,2,2,4,3,1,1,2,2,2,1,2,1,4,2,1,2,1,3,4,2,2,1,1,60,173,176418
2022-01-26,1,26,2,8,2,1,2,1,3,1,1,3,2,1,2,2,2,1,2,3,1,1,1,1,2,1,3,2,1,1,2,2,1,1,3,1,48,148,166036
2022-01-27,1,27,3,7,0,0,2,2,1,3,1,1,1,1,1,2,3,1,1,2,3,2,1,1,3,2,2,1,4,3,2,2,1,2,3,1,60,179,161346
2022-01-28,1,28,4,3,-6,0,2,2,2,1,1,1,3,3,2,2,1,1,1,2,4,2,1,2,1,1,1,2,1,2,1,2,1,1,2,3,43,163,174293
2022-01-29,1,29,5,8,-1,0,1,3,2,1,1,2,1,1,3,1,3,1,2,3,3,2,2,2,1,2,1,1,2,1,3,3,4,1,1,2,69,189,125392
2022-01-30,1,30,6,9,1,0,1,1,1,1,2,1,2,1,1,3,1,1,1,3,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,76,204,133868
