date,month,day,weekday,high_temp,low_temp,weather,menu_1_sales,menu_2_sales,menu_3_sales,menu_4_sales,menu_5_sales,menu_6_sales,menu_7_sales,menu_8_sales,menu_9_sales,menu_10_sales,menu_11_sales,menu_12_sales,menu_13_sales,menu_14_sales,menu_15_sales,menu_16_sales,menu_17_sales,menu_18_sales,menu_19_sales,menu_20_sales,menu_21_sales,menu_22_sales,menu_23_sales,menu_24_sales,menu_25_sales,menu_26_sales,menu_27_sales,menu_28_sales,menu_29_sales,menu_30_sales,ice_drink_sales,hot_drink_sales,revenue
2022-01-01,1,1,5,6,-2,1,3,1,1,3,1,2,1,2,2,2,1,1,2,1,2,3,3,3,1,1,2,1,1,2,3,1,2,2,3,2,81,182,147746
2022-01-02,1,2,6,6,0,0,1,2,2,2,1,2,1,3,3,2,1,1,1,4,3,1,2,3,2,2,1,1,2,1,2,1,1,2,1,1,88,187,190117
2022-01-03,1,3,0,9,0,1,2,2,1,3,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,72,135,105699
2022-01-04,1,4,1,9,0,0,2,2,1,3,1,2,1,3,2,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2,3,1,1,1,1,2,79,126,196714
2022-01-05,1,5,2,4,-3,0,1,2,1,2,2,3,1,2,1,1,3,1,2,1,2,1,3,2,2,2,1,1,2,2,3,3,1,3,1,2,67,144,157280
2022-01-06,1,6,3,1,-6,0,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,2,4,3,3,1,3,1,2,2,72,144,143955
2022-01-07,1,7,4,0,-7,0,2,1,2,3,1,2,2,2,2,2,2,1,1,3,1,2,1,1,2,2,3,2,1,2,1,1,2,3,1,3,86,131,149109
2022-01-08,1,8,5,1,-5,0,2,2,2,1,2,2,2,3,2,1,2,1,2,4,1,1,2,1,1,3,1,1,2,2,1,1,1,4,1,2,104,161,133014
2022-01-09,1,9,6,0,-8,1,1,2,3,1,2,1,2,1,1,2,2,2,2,3,1,1,2,3,1,3,3,2,2,1,2,2,1,2,2,2,93,166,165417
2022-01-10,1,10,0,2,-3,1,3,3,1,2,2,3,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,2,3,1,1,67,151,137070
2022-01-11,1,11,1,1,-6,0,2,2,2,2,1,1,1,2,4,3,2,2,1,2,1,2,2,3,1,1,2,1,1,1,2,1,1,1,2,1,85,142,165949
2022-01-12,1,12,2,2,-4,2,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,1,1,1,0,0,0,45,77,101540
2022-01-13,1,13,3,2,-5,0,1,1,3,2,2,3,1,1,1,1,1,1,3,2,2,1,1,1,1,1,3,2,1,2,3,1,3,1,2,1,81,140,193791
2022-01-14,1,14,4,7,1,0,1,1,1,2,2,1,1,2,3,3,3,3,1,3,4,1,1,1,2,2,3,2,1,1,4,3,1,1,3,3,86,133,125803
