date,month,day,weekday,high_temp,low_temp,weather,menu_1_sales,menu_2_sales,menu_3_sales,menu_4_sales,menu_5_sales,menu_6_sales,menu_7_sales,menu_8_sales,menu_9_sales,menu_10_sales,menu_11_sales,menu_12_sales,menu_13_sales,menu_14_sales,menu_15_sales,menu_16_sales,menu_17_sales,menu_18_sales,menu_19_sales,menu_20_sales,menu_21_sales,menu_22_sales,menu_23_sales,menu_24_sales,menu_25_sales,menu_26_sales,menu_27_sales,menu_28_sales,menu_29_sales,menu_30_sales,ice_drink_sales,hot_drink_sales,revenue
2022-01-01,1,1,5,8,2,1,3,1,1,1,2,3,1,3,2,3,1,1,1,3,1,1,1,2,2,2,1,2,2,3,1,1,2,1,2,1,97,159,181689
2022-01-02,1,2,6,1,-6,0,2,1,2,1,2,2,2,3,1,1,1,1,1,2,2,2,1,2,3,2,1,1,2,1,1,1,3,2,1,1,76,175,170262
2022-01-03,1,3,0,2,-3,0,2,2,2,1,1,2,2,2,2,4,1,3,2,2,3,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,87,140,112266
2022-01-04,1,4,1,6,0,0,3,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,3,1,1,3,4,2,1,1,3,3,2,2,67,135,180250
2022-01-05,1,5,2,8,2,1,1,1,3,2,1,2,3,3,1,3,3,4,1,2,2,2,1,1,1,1,2,1,1,2,1,2,1,2,2,1,75,134,118911
2022-01-06,1,6,3,6,-1,0,1,1,3,2,2,4,1,1,1,1,1,1,1,2,2,3,2,2,3,1,2,2,4,2,2,1,2,1,3,2,88,134,158429
2022-01-07,1,7,4,3,-4,0,1,3,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,3,1,2,2,1,2,2,1,1,1,3,1,64,144,104073
2022-01-08,1,8,5,4,-5,2,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,51,96,63302
2022-01-09,1,9,6,6,0,0,3,1,1,2,1,2,1,1,1,2,3,3,1,1,1,2,2,2,1,1,1,3,1,1,2,2,1,2,1,1,93,173,113403
2022-01-10,1,10,0,4,-3,0,1,1,2,1,1,2,1,1,1,2,3,4,2,1,1,2,2,1,2,2,2,4,3,2,2,3,1,2,1,1,74,139,156179
2022-01-11,1,11,1,2,-4,0,2,2,1,1,2,3,1,1,1,1,1,4,1,3,2,2,1,2,3,1,3,1,2,1,2,1,2,1,3,1,85,138,121526
2022-01-12,1,12,2,7,-2,0,3,1,2,3,3,4,3,1,3,1,3,2,3,2,3,2,2,1,2,2,2,1,2,3,2,4,3,1,2,2,78,142,189700
2022-01-13,1,13,3,0,-8,1,1,2,2,1,2,1,2,2,1,1,2,1,1,2,3,1,1,2,3,1,1,1,2,2,1,1,1,2,3,1,71,152,121358
2022-01-14,1,14,4,2,-6,0,2,1,2,1,1,1,1,1,1,1,3,1,2,2,1,2,1,1,2,2,1,3,1,1,2,2,1,2,1,1,61,143,157280
2022-01-15,1,15,5,8,0,0,1,4,3,1,1,1,2,1,2,1,3,1,1,1,2,2,3,4,3,1,1,1,1,5,1,2,2,3,1,2,99,160,164103
2022-01-16,1,16,6,9,1,0,3,1,1,1,2,1,3,2,2,4,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,91,173,187913
2022-01-17,1,17,0,9,0,0,1,2,3,3,1,2,1,3,1,2,3,3,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,3,1,1,82,137,196311
2022-01-18,1,18,1,8,1,1,2,1,1,2,2,1,1,3,1,2,1,2,2,1,2,2,2,2,1,1,1,3,1,1,1,1,2,1,1,2,71,156,166514
2022-01-19,1,19,2,7,-1,1,1,1,3,2,1,1,1,3,1,3,1,2,1,2,2,2,4,2,1,2,2,1,2,2,3,3,2,1,3,3,79,123,173095
2022-01-20,1,20,3,7,1,0,2,2,2,1,2,1,2,1,1,3,2,1,2,1,1,1,1,2,2,2,1,1,3,3,2,1,2,1,3,2,70,130,147046
2022-01-21,1,21,4,7,0,0,2,3,1,1,2,2,1,1,2,1,3,1,1,1,1,2,1,2,1,1,1,1,2,3,2,2,1,1,1,1,75,127,137321
2022-01-22,1,22,5,9,0,0,1,2,2,1,2,1,1,1,2,1,1,3,1,2,1,1,2,3,2,1,1,2,1,2,1,1,1,1,3,2,95,174,171393
2022-01-23,1,23,6,5,-2,0,1,1,1,3,2,1,3,1,2,1,1,1,1,2,1,2,1,1,1,1,2,3,1,2,2,2,2,3,1,2,77,174,179267
2022-01-24,1,24,0,4,-3,0,2,2,2,2,1,1,1,2,1,3,1,2,3,2,2,2,3,1,1,2,2,1,3,2,2,1,1,3,1,1,78,121,101009
2022-01-25,1,25,1,2,-7,1,1,2,2,3,1,2,1,3,3,3,3,1,2,1,2,4,1,1,2,1,1,3,1,1,1,1,2,1,1,2,78,146,164514
