date,month,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-03-27,3,2,12,3,0,27,33,35,40,30,36,45,61,38,41,21,28,31,55,42,46,40,33,48,79,111,71,105,102,44,36,48,64,40,39,41,35,51,79,116,122,970950,157667
2024-03-28,3,3,11,2,0,13,26,30,40,29,27,44,56,30,38,22,23,35,42,32,46,38,31,66,112,69,116,84,70,23,31,69,52,47,43,34,45,83,61,120,112,951230,159230
2024-03-29,3,4,5,-4,1,25,30,14,53,33,36,43,35,19,37,26,36,41,32,55,55,39,41,62,130,100,77,77,118,48,21,59,52,42,34,17,44,62,89,138,102,1007110,145536
2024-03-30,3,5,13,7,0,31,35,22,38,33,43,34,38,21,26,30,26,27,39,45,58,35,44,68,126,49,101,89,63,46,27,71,59,57,41,44,54,50,76,147,125,945730,158843
2024-03-31,3,6,10,4,0,37,12,50,42,48,53,41,42,25,31,27,32,23,40,48,37,42,41,46,94,85,114,81,85,43,19,55,45,8,44,26,37,73,93,123,147,956900,157330
2024-04-01,4,0,19,10,1,29,27,28,41,32,49,33,39,40,42,25,35,44,33,54,47,42,37,58,78,112,104,103,110,39,27,50,44,48,39,30,44,74,77,127,117,1014110,152878
2024-04-02,4,1,15,8,0,37,35,31,42,26,35,41,55,41,40,41,22,26,50,27,38,29,36,35,95,106,76,97,103,42,18,58,34,53,38,35,49,84,77,122,122,973490,165204
2024-04-03,4,2,18,8,1,37,27,33,54,42,36,35,31,30,40,25,37,52,36,31,42,48,48,45,94,59,88,109,99,38,35,59,59,65,50,22,57,51,74,137,96,963130,152885
2024-04-04,4,3,16,7,0,15,24,32,36,36,49,55,26,35,32,23,23,40,34,34,30,39,41,36,100,77,110,70,65,33,45,50,61,48,31,30,53,74,81,132,108,916440,143309
2024-04-05,4,4,10,4,0,20,41,24,29,25,52,40,52,35,33,24,24,46,41,34,42,42,45,58,98,84,78,99,81,43,21,66,43,49,36,34,44,101,55,132,88,956710,158707
2024-04-06,4,5,13,6,0,14,38,28,48,45,27,39,72,35,34,26,31,50,40,51,43,33,37,52,91,80,89,84,93,31,25,43,60,49,52,47,41,113,84,115,165,1003940,194047
2024-04-07,4,6,17,7,2,19,24,16,31,32,29,50,37,27,25,24,22,27,38,28,60,24,39,39,77,67,88,84,71,19,23,35,38,34,22,26,35,56,68,133,90,789970,112326
2024-04-08,4,0,14,6,0,33,44,35,39,55,32,41,61,31,31,23,30,39,46,56,47,42,36,55,82,99,102,62,96,37,24,53,65,52,31,39,33,99,96,82,122,1015290,151490
2024-04-09,4,1,17,9,0,33,21,31,36,43,39,54,49,24,54,29,26,27,32,53,33,60,44,41,99,96,86,101,75,38,33,60,59,52,32,38,42,46,65,116,97,953200,177436
2024-04-10,4,2,14,4,0,31,29,30,33,49,44,46,47,15,41,23,35,40,38,51,39,46,34,42,119,63,108,74,87,43,38,43,65,54,36,35,47,73,92,125,102,985010,149378
2024-04-11,4,3,17,7,1,24,36,29,35,55,37,52,34,26,43,29,31,42,51,48,45,52,29,37,89,120,107,42,111,20,16,33,50,34,30,33,68,117,78,137,102,1001750,164684
2024-04-12,4,4,16,10,0,35,34,28,44,38,28,39,41,31,27,11,34,41,48,48,35,36,46,34,109,79,130,128,85,39,30,45,50,28,29,32,42,56,54,116,88,969910,138092
2024-04-13,4,5,10,4,1,27,36,26,32,55,33,32,51,33,41,23,27,28,30,45,49,47,47,41,91,65,74,96,82,37,40,49,63,46,38,30,29,93,81,175,122,933630,157884
2024-04-14,4,6,19,10,0,39,25,35,53,15,43,43,53,33,33,17,31,46,32,68,42,39,40,39,61,106,101,100,86,36,30,55,47,43,49,36,39,82,89,158,116,984210,151685
2024-04-15,4,0,15,5,0,35,34,27,37,51,47,39,50,23,45,25,29,56,38,38,35,38,44,68,102,92,91,95,47,22,32,49,38,30,43,40,54,52,93,110,115,943290,153906
2024-04-16,4,1,19,13,2,13,28,28,35,46,40,40,53,23,29,26,32,36,48,30,36,50,27,48,75,124,93,64,43,24,25,40,48,34,39,34,48,86,61,84,117,880120,144248
2024-04-17,4,2,19,9,2,29,29,15,25,35,35,46,20,21,33,29,16,31,36,34,33,41,27,42,48,62,79,53,50,33,14,43,67,24,29,30,34,48,44,92,78,691810,115932
2024-04-18,4,3,13,7,0,30,40,23,44,37,44,45,29,34,38,27,43,28,24,54,58,37,35,40,83,85,105,85,56,34,39,58,67,39,39,30,47,95,60,129,93,936760,170395
2024-04-19,4,4,17,10,0,29,28,29,40,51,50,37,19,27,42,27,18,40,60,38,52,36,33,41,102,95,107,82,50,18,25,60,63,46,45,48,23,95,75,118,130,957430,145213
2024-04-20,4,5,16,8,2,28,24,23,35,25,36,36,39,25,44,17,19,42,30,30,30,32,31,44,82,88,69,69,65,35,25,37,52,26,26,23,39,47,58,105,112,776250,125582
2024-04-21,4,6,15,5,0,24,32,24,40,39,47,42,47,38,55,33,28,38,38,39,42,51,35,54,99,127,92,80,116,32,20,45,45,47,40,27,39,59,72,114,140,1000540,152950
2024-04-22,4,0,11,3,0,31,24,32,51,43,38,38,61,25,44,33,18,42,41,36,31,29,21,37,47,82,127,84,130,33,30,60,42,36,22,32,35,83,76,93,136,947700,120304
2024-04-23,4,1,17,7,0,35,32,16,37,43,44,23,54,33,42,26,35,16,36,36,36,54,42,40,140,89,93,95,86,42,29,61,46,46,27,40,56,70,103,130,100,1020270,153202
2024-04-24,4,2,17,10,2,20,29,21,32,24,35,44,50,29,29,18,29,32,29,37,26,47,57,59,77,65,103,57,69,40,22,44,46,30,28,28,23,31,64,106,92,789640,133038
2024-04-25,4,3,10,0,1,21,34,25,35,29,38,50,36,42,33,26,33,42,34,48,58,49,38,36,72,64,101,82,95,37,31,55,54,57,38,12,33,66,76,98,144,909650,162032
2024-04-26,4,4,17,9,0,31,42,31,38,30,48,48,55,25,41,26,30,49,35,60,42,32,36,47,96,135,123,92,66,36,28,46,56,38,45,46,53,67,102,90,126,1053190,157769
2024-04-27,4,5,18,11,0,27,32,23,37,29,40,41,49,37,22,30,34,50,21,39,41,36,46,35,82,123,90,103,80,28,32,77,47,48,48,40,31,84,102,143,121,1003750,149847
2024-04-28,4,6,17,8,0,40,36,36,39,40,32,52,55,31,28,22,26,45,35,47,57,27,39,66,94,130,111,110,82,32,20,60,49,30,46,31,47,103,74,110,139,1064340,145938
2024-04-29,4,0,10,0,0,28,38,27,34,34,39,29,54,31,45,20,25,41,46,47,50,43,33,49,89,99,127,110,91,39,30,54,61,41,35,34,50,113,103,124,116,1080190,159415
2024-04-30,4,1,18,12,1,33,24,23,50,46,41,42,51,32,44,19,41,42,28,42,34,49,34,51,79,66,107,109,79,42,25,58,66,49,42,37,43,93,84,137,98,990560,131331
2024-05-01,5,2,15,5,1,41,27,34,35,46,33,34,44,31,50,26,25,39,50,43,36,46,38,42,113,68,110,64,65,28,32,60,58,35,33,43,44,75,96,117,111,952740,118632
2024-05-02,5,3,24,14,0,34,24,30,44,41,31,48,67,37,39,25,34,37,25,41,47,43,39,45,110,100,81,80,77,45,45,39,49,30,48,44,41,71,90,99,118,972710,163829
2024-05-03,5,4,23,17,1,27,16,29,33,31,41,43,56,30,31,32,33,33,34,41,44,47,48,47,71,105,101,67,88,39,24,66,57,41,46,46,36,79,86,135,97,960590,145829
2024-05-04,5,5,20,12,0,29,39,29,37,39,30,30,39,31,38,30,31,37,34,47,34,52,45,73,126,95,77,89,78,25,28,55,58,46,38,43,47,63,53,156,120,956690,128608
2024-05-05,5,6,22,14,0,24,29,25,38,31,43,47,66,32,37,29,32,36,34,52,32,49,26,38,95,88,94,74,107,25,26,49,63,56,33,35,40,47,98,141,153,958110,158949
2024-05-06,5,0,19,11,1,23,42,32,49,36,32,31,71,24,47,29,30,28,21,42,71,62,50,46,92,93,86,77,112,32,32,74,60,48,50,32,53,67,98,105,104,1027000,161665
2024-05-07,5,1,16,10,0,34,31,33,38,21,20,38,53,42,33,29,33,39,48,48,50,51,48,69,65,97,92,69,111,37,33,64,54,36,29,33,43,96,82,93,125,983790,135844
2024-05-08,5,2,24,15,0,25,35,40,42,30,32,43,56,23,41,24,41,40,39,55,45,42,33,51,97,75,118,105,86,30,32,60,58,52,39,33,44,96,90,113,123,1034320,154577
2024-05-09,5,3,21,14,2,25,26,12,33,46,38,40,37,20,37,34,25,38,31,39,34,62,34,51,85,55,90,76,67,30,26,48,78,31,36,35,26,44,59,117,98,826360,120803
2024-05-10,5,4,15,6,0,27,33,32,37,37,45,34,48,26,39,27,25,49,39,52,39,46,36,65,111,109,87,54,83,40,26,75,59,46,42,35,44,84,66,113,89,986000,147994
