date,month,day,weekday,high_temp,low_temp,weather,menu_1_sales,menu_2_sales,menu_3_sales,menu_4_sales,menu_5_sales,menu_6_sales,menu_7_sales,menu_8_sales,menu_9_sales,menu_10_sales,menu_11_sales,menu_12_sales,menu_13_sales,menu_14_sales,menu_15_sales,menu_16_sales,menu_17_sales,menu_18_sales,menu_19_sales,menu_20_sales,menu_21_sales,menu_22_sales,menu_23_sales,menu_24_sales,menu_25_sales,menu_26_sales,menu_27_sales,menu_28_sales,menu_29_sales,menu_30_sales,ice_drink_sales,hot_drink_sales,revenue
2022-01-01,1,1,5,4,-1,0,2,2,3,1,2,2,3,4,1,2,1,2,2,3,2,1,2,2,1,2,2,1,1,4,3,2,1,1,1,2,58,223,137650
2022-01-02,1,2,6,8,2,0,1,3,1,2,3,1,1,1,2,1,1,2,2,1,4,2,3,1,2,1,2,1,2,1,1,1,1,1,2,1,58,203,162419
2022-01-03,1,3,0,4,-1,0,2,2,2,1,1,1,1,1,1,2,3,1,3,1,3,1,1,1,2,3,1,1,1,3,2,1,1,2,1,1,54,170,190157
2022-01-04,1,4,1,7,-2,0,2,1,2,3,1,2,2,1,3,2,2,2,2,4,1,2,1,3,2,1,1,1,3,1,4,3,1,2,2,3,58,166,150004
2022-01-05,1,5,2,0,-6,0,3,3,1,3,1,1,1,1,1,2,1,1,3,2,1,1,1,3,4,2,2,1,1,1,1,1,2,1,2,1,48,177,140661
2022-01-06,1,6,3,5,-1,0,3,2,2,1,1,2,1,2,1,2,1,1,1,3,1,3,1,1,3,1,3,2,1,3,2,1,1,2,3,1,50,154,161275
2022-01-07,1,7,4,9,2,1,1,1,3,1,2,2,2,2,1,2,1,2,2,1,1,2,1,1,3,1,3,1,2,2,2,2,1,1,2,2,51,187,144202
2022-01-08,1,8,5,8,0,0,1,2,1,2,2,2,1,4,3,1,1,2,1,3,2,2,3,2,1,1,2,1,1,3,2,1,2,3,1,2,76,206,153723
2022-01-09,1,9,6,4,-2,1,2,2,2,1,2,2,3,2,2,2,1,2,1,3,2,1,1,3,3,2,3,4,3,3,2,2,2,1,2,1,67,226,127486
2022-01-10,1,10,0,7,1,0,1,2,1,4,1,2,1,1,1,1,2,1,3,2,3,3,2,1,1,1,3,1,1,1,3,1,2,1,1,1,49,161,157759
2022-01-11,1,11,1,1,-8,2,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,2,0,3,1,35,136,102778
2022-01-12,1,12,2,3,-3,1,3,1,1,3,1,1,1,3,1,3,2,2,2,3,1,3,3,1,3,1,1,1,1,2,3,1,1,2,3,1,51,187,137515
2022-01-13,1,13,3,6,-2,2,1,0,0,1,0,1,1,2,2,1,0,0,0,1,0,3,1,0,0,0,0,2,0,1,1,0,0,1,0,1,62,152,137343
2022-01-14,1,14,4,8,0,1,3,2,3,3,2,1,3,2,2,1,2,3,2,1,2,1,1,1,4,3,2,2,3,2,3,2,2,3,2,1,68,180,146246
