date,month,weekday,high_temp,low_temp,weather,ジャーマンドッグ,レタスドッグ,チーズドッグ,生ハムさんど,エビアボカドサンド,トルコライス,カレー,エビグラタン,ミートドリア,ハンバーグドリア,ピザトースト,唐揚げ,フライドポテト,カンノーロ,コーヒーゼリーパフェ,アイスコーヒー,ブレンドコーヒー,沖縄黒糖ラテ,ice_drink_sales,hot_drink_sales,revenue
2024-03-27,3,2,8,2,0,5,5,4,5,7,1,2,1,1,1,3,1,2,1,1,70,32,8,139,93,153338
2024-03-28,3,3,9,0,0,5,5,3,7,7,1,2,1,1,1,5,1,1,1,1,75,51,6,105,101,133355
2024-03-29,3,4,12,6,0,4,4,4,7,5,1,2,2,1,1,6,1,2,2,1,79,51,5,120,83,159351
2024-03-30,3,5,10,4,0,4,4,4,4,5,2,3,2,1,1,5,1,1,2,1,87,30,7,151,135,108837
2024-03-31,3,6,5,-1,0,6,4,4,6,6,2,1,2,1,1,5,1,2,1,1,69,47,7,152,124,135117
2024-04-01,4,0,17,10,0,6,7,3,3,7,1,3,1,1,1,5,1,1,2,1,67,46,8,94,115,141506
2024-04-02,4,1,15,7,0,5,5,2,6,5,2,3,1,1,1,3,2,1,1,1,101,49,8,95,136,132661
2024-04-03,4,2,19,12,2,4,4,3,4,5,1,2,1,0,0,4,0,1,0,0,67,38,6,71,96,125695
2024-04-04,4,3,19,10,0,5,5,3,5,5,1,3,1,1,1,6,2,1,2,1,63,60,8,105,138,137319
2024-04-05,4,4,15,8,0,5,5,3,6,5,1,2,2,1,1,4,1,2,2,1,83,55,8,98,122,157161
2024-04-06,4,5,12,5,2,5,4,4,5,5,0,2,1,0,0,3,0,0,0,0,63,40,6,143,99,144688
2024-04-07,4,6,12,3,0,7,5,4,8,8,2,2,2,1,1,4,2,2,1,1,79,53,6,157,125,166120
2024-04-08,4,0,13,5,0,6,4,3,6,6,1,2,2,1,1,5,2,2,2,1,80,60,11,102,122,164710
2024-04-09,4,1,18,8,1,4,4,4,6,7,2,3,1,1,1,4,2,2,1,1,63,50,4,94,137,173807
2024-04-10,4,2,18,11,1,5,3,3,5,6,1,2,2,1,1,6,1,2,1,1,93,33,4,104,141,152247
2024-04-11,4,3,19,9,0,5,4,5,6,6,2,2,2,1,1,4,1,2,1,1,97,60,7,87,115,137385
2024-04-12,4,4,16,6,0,5,3,2,5,7,1,3,1,1,1,5,1,1,2,1,71,43,7,125,98,144651
2024-04-13,4,5,11,2,0,6,5,5,4,8,1,3,1,1,1,4,1,2,2,1,64,48,7,159,128,157984
2024-04-14,4,6,19,12,0,5,4,5,4,7,2,3,2,1,1,5,1,2,1,1,52,53,9,122,143,151298
2024-04-15,4,0,13,6,1,5,4,3,4,5,2,2,1,1,1,3,2,2,1,1,92,51,9,104,120,153883
2024-04-16,4,1,17,9,0,5,4,2,4,8,2,3,1,1,1,4,1,2,2,1,69,51,8,100,114,107011
2024-04-17,4,2,15,8,0,5,4,4,6,7,2,2,1,1,1,6,1,2,2,1,68,35,10,101,112,151279
2024-04-18,4,3,12,5,0,5,5,3,7,7,2,2,2,1,1,4,2,1,1,1,92,28,8,92,135,165017
2024-04-19,4,4,19,10,1,6,5,2,6,7,1,3,1,1,1,4,1,1,2,1,68,77,9,86,128,157936
2024-04-20,4,5,10,2,0,6,4,3,4,7,2,2,1,1,1,6,1,2,1,1,91,40,9,126,129,137252
2024-04-21,4,6,10,0,2,5,4,4,6,4,1,1,0,0,0,3,1,1,1,0,75,50,6,96,125,114101
2024-04-22,4,0,15,6,0,7,6,3,6,5,1,1,2,1,1,4,1,1,2,1,80,55,6,99,104,132593
2024-04-23,4,1,10,3,2,5,3,3,6,5,0,2,1,0,0,3,2,0,1,0,58,42,5,89,111,142396
2024-04-24,4,2,16,6,1,5,4,3,5,5,1,3,1,1,1,4,2,1,2,1,102,49,6,140,99,186199
2024-04-25,4,3,11,1,1,6,6,2,6,6,2,3,1,1,1,5,2,2,1,1,97,52,5,120,115,149907
2024-04-26,4,4,14,6,0,7,2,2,6,7,1,2,2,1,1,5,1,1,2,1,93,24,9,116,85,133406
