date,month,day,weekday,high_temp,low_temp,weather,menu_1_sales,menu_2_sales,menu_3_sales,menu_4_sales,menu_5_sales,menu_6_sales,menu_7_sales,menu_8_sales,menu_9_sales,menu_10_sales,menu_11_sales,menu_12_sales,menu_13_sales,menu_14_sales,menu_15_sales,menu_16_sales,menu_17_sales,menu_18_sales,menu_19_sales,menu_20_sales,menu_21_sales,menu_22_sales,menu_23_sales,menu_24_sales,menu_25_sales,menu_26_sales,menu_27_sales,menu_28_sales,menu_29_sales,menu_30_sales,ice_drink_sales,hot_drink_sales,revenue
2022-01-01,1,1,5,8,1,1,4,2,2,2,1,2,2,1,3,2,1,1,2,2,3,1,1,2,1,3,4,2,1,4,1,1,2,3,2,2,60,227,109615
2022-01-02,1,2,6,8,0,0,1,1,1,3,2,1,2,3,2,3,1,1,2,2,2,2,2,2,1,3,2,3,3,1,1,2,1,4,2,1,52,209,172541
2022-01-03,1,3,0,6,0,0,2,2,4,1,1,2,1,1,2,2,1,1,3,2,1,2,2,1,1,1,1,1,1,2,3,1,2,3,1,1,49,159,122178
2022-01-04,1,4,1,1,-4,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,2,2,0,0,2,1,39,127,142031
2022-01-05,1,5,2,0,-8,0,3,2,1,2,3,1,1,1,2,3,2,1,1,1,2,3,1,1,1,2,1,3,1,3,1,1,2,3,1,1,52,138,191268
2022-01-06,1,6,3,1,-4,1,1,1,1,1,2,1,1,3,2,1,1,3,2,1,1,2,3,1,2,1,1,1,1,1,2,1,1,3,3,2,53,170,181691
2022-01-07,1,7,4,9,3,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,3,2,1,1,1,2,3,1,2,2,2,2,55,143,143271
2022-01-08,1,8,5,0,-5,0,3,1,3,1,1,2,4,2,1,2,1,1,1,1,1,1,2,2,1,2,1,3,2,2,2,1,3,2,1,1,67,192,183449
2022-01-09,1,9,6,6,0,0,3,2,1,2,2,2,2,1,3,1,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,3,1,1,71,187,184459
2022-01-10,1,10,0,2,-6,1,1,3,2,3,1,2,3,1,3,1,2,1,1,1,1,1,3,2,1,1,2,1,1,1,2,2,2,3,3,3,59,167,120021
2022-01-11,1,11,1,9,3,0,3,1,1,1,1,2,3,2,3,1,1,2,1,1,3,1,1,1,1,3,1,1,2,2,2,1,3,2,2,1,60,153,179294
2022-01-12,1,12,2,5,-3,0,2,1,3,1,3,3,1,3,1,1,3,1,1,1,1,4,4,2,3,2,1,2,2,1,2,2,3,2,1,3,43,150,137235
2022-01-13,1,13,3,8,1,0,4,2,2,3,1,1,1,3,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,3,1,1,1,2,2,2,57,156,121560
2022-01-14,1,14,4,8,-1,0,1,1,1,1,1,3,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,3,3,1,2,2,2,1,1,1,50,166,112992
2022-01-15,1,15,5,0,-6,0,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,3,2,3,1,2,2,2,2,2,3,2,2,1,1,1,73,179,131002
2022-01-16,1,16,6,7,0,0,3,2,3,1,3,4,4,2,2,1,1,1,2,1,1,2,4,1,1,1,1,2,1,2,1,1,1,2,1,2,59,201,195586
2022-01-17,1,17,0,7,0,1,1,1,2,1,1,1,2,1,4,1,1,1,1,2,3,1,1,2,3,3,3,2,2,1,1,3,1,1,1,1,48,152,197677
2022-01-18,1,18,1,2,-6,0,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,3,2,2,2,1,3,2,1,2,2,2,2,4,2,1,66,163,168090
2022-01-19,1,19,2,2,-6,0,1,1,2,2,1,3,1,2,1,3,2,3,1,2,3,1,2,4,1,3,1,2,1,2,2,3,3,2,2,1,45,156,159633
2022-01-20,1,20,3,6,-3,0,1,2,1,1,2,2,2,1,1,3,2,2,2,2,3,1,2,1,1,2,3,2,1,1,2,2,1,2,3,1,65,155,176048
2022-01-21,1,21,4,4,-1,0,1,1,2,1,3,1,2,2,3,2,1,1,2,3,1,1,1,1,1,2,1,1,1,2,3,1,1,2,1,1,55,160,101304
2022-01-22,1,22,5,0,-7,0,2,3,1,1,3,2,2,2,1,1,1,2,1,1,1,2,2,2,3,2,2,2,1,2,1,1,1,2,1,2,85,201,143389
