date,actual,predicted
2023-04-14,137,131.52422
2022-05-29,169,166.93117
2022-10-30,121,113.46222
2022-12-22,54,53.21766
2023-05-31,117,134.42876
2022-09-24,145,173.21458
2022-03-14,116,75.78825
2022-03-23,103,82.91188
2022-05-14,140,161.15187
2022-12-09,44,53.630608
2022-12-11,64,66.43792
2023-12-12,44,47.93839
2022-03-20,129,101.85387
2023-03-10,87,105.141975
2022-07-24,189,206.99287
2022-03-28,102,88.15397
2023-04-10,107,64.48364
2022-02-03,54,83.19129
2023-08-11,181,165.69603
2022-04-29,97,98.47575
2023-01-18,49,53.036846
2023-03-07,93,73.8499
2022-09-12,121,112.99524
2023-04-29,145,105.91594
2022-07-19,103,137.49837
2022-08-09,167,162.87422
2022-10-27,123,125.53923
2022-02-09,49,80.37463
2022-08-20,184,164.75815
2022-12-30,60,85.83839
2022-12-13,61,35.712856
2022-09-17,89,124.68773
2022-02-24,51,71.472496
2022-03-07,114,35.37415
2023-03-24,88,99.81166
2022-07-12,152,152.64244
2023-01-11,53,51.90836
2022-04-12,126,95.16867
2022-01-11,58,63.69063
2023-09-29,113,119.9567
2022-12-23,45,62.203575
2023-12-18,44,40.205784
2022-06-24,172,126.040855
2023-10-12,99,108.28604
2022-07-16,215,179.23897
2022-10-03,120,90.716255
2023-05-28,131,170.47029
2023-03-13,68,72.4747
2022-08-24,168,150.35725
2023-06-07,144,150.74962
2023-03-11,109,85.325485
2022-04-20,105,109.3026
2023-11-11,62,60.574497
2023-11-20,53,47.62
2023-11-28,50,55.43108
2023-08-17,174,146.06813
2023-03-06,100,37.796627
2023-04-03,86,57.19537
2022-08-04,158,137.05634
2022-07-28,168,180.13225
2023-12-22,50,66.240074
2022-08-02,157,147.33913
2022-06-05,205,160.30034
2022-08-16,67,116.96035
2023-02-10,39,60.13857
2022-12-17,70,45.558487
2022-03-05,103,111.93724
2023-09-16,122,157.69368
2022-03-19,160,77.727554
2022-02-19,54,70.3221
2023-04-25,99,116.85788
2023-11-14,57,74.69858
2022-11-21,44,47.027386
2022-04-08,101,127.35716
2023-07-23,202,178.76149
2023-02-14,56,45.780964
2022-01-24,68,59.083195
2022-08-12,145,137.5218
2022-12-18,75,64.54889
2023-03-25,159,109.33534
2023-05-27,162,130.67484
2023-03-09,96,98.67385
2023-01-04,50,52.346752
2022-09-02,113,165.6065
2022-09-23,86,127.50997
2022-10-28,116,133.01721
2023-08-03,161,150.25156
2022-05-01,142,162.42339
2022-01-31,60,73.79081
2023-08-28,138,115.134964
2023-11-09,48,72.97068
2023-03-01,87,60.443306
2022-12-01,65,54.697407
2023-02-03,40,56.132862
2022-06-15,148,137.1045
2022-12-16,58,50.37829
2023-09-25,98,126.49462
2023-06-27,161,104.117714
2022-06-08,176,139.03993
2022-03-26,143,96.222885
2022-03-21,101,66.16369
2023-06-13,135,127.35635
2022-10-14,124,125.7489
2022-11-23,54,57.47788
2023-12-28,50,61.069344
2022-02-01,59,44.8233
2023-02-27,59,52.37821
2022-09-06,143,126.260025
2023-12-19,46,47.320538
2023-02-22,54,82.87689
2023-04-13,112,92.00246
2023-07-26,150,142.18831
2022-02-25,38,87.6181
2023-08-18,151,163.9612
2023-05-03,108,135.60547
2022-12-28,56,49.306034
2023-08-23,150,134.17668
2023-03-26,119,91.1756
2022-03-18,111,68.256714
2022-01-03,55,58.741486
2023-04-16,130,113.995285
2023-05-13,156,110.68945
2023-06-20,163,125.28258
2022-03-02,73,83.435265
2023-12-27,64,58.89044
2023-03-08,126,57.337543
2023-01-03,50,37.361313
2023-04-27,55,80.55771
2023-08-13,197,185.96242
2023-11-06,62,70.84443
2022-06-14,128,98.45559
2022-08-23,164,126.53739
2023-06-02,151,147.3518
2022-04-01,91,109.958694
2022-12-03,72,63.27051
2023-08-20,121,185.57294
2022-03-11,86,79.782524
2022-07-30,201,152.87563
2022-05-12,119,135.01205
2022-02-14,65,29.73265
2022-03-12,140,102.27815
2023-02-09,60,77.416595
2023-01-26,44,86.39226
2022-08-07,207,192.99324
2022-05-16,99,114.83212
2022-09-18,151,154.17848
