date,hot_drink_sales_actual,hot_drink_sales_redicted
2023-04-14,91,126.70857
2022-05-29,151,130.83102
2022-10-30,149,132.91986
2022-12-22,158,164.33054
2023-05-31,120,117.316635
2022-09-24,168,107.463104
2022-03-14,119,49.98759
2022-03-23,94,103.31769
2022-05-14,132,129.88287
2022-12-09,134,165.40346
2022-12-11,209,186.0377
2023-12-12,141,165.97537
2022-03-20,85,119.292816
2023-03-10,109,143.9425
2022-07-24,69,89.32663
2022-03-28,99,107.83302
2023-04-10,77,92.59129
2022-02-03,159,121.93393
2023-08-11,49,76.67644
2022-04-29,109,141.59686
2023-01-18,153,176.89911
2023-03-07,96,103.06557
2022-09-12,81,78.66286
2023-04-29,135,168.53937
2022-07-19,22,63.152767
2022-08-09,50,64.82588
2022-10-27,131,144.85168
2022-02-09,133,108.673904
2022-08-20,74,96.18239
2022-12-30,167,203.49863
2022-12-13,119,160.81506
2022-09-17,122,98.21887
2022-02-24,182,177.2782
2022-03-07,63,81.09943
2023-03-24,109,142.8985
2022-07-12,42,73.57031
2023-01-11,150,124.582504
2022-04-12,85,89.23091
2022-01-11,177,115.871735
2023-09-29,122,100.988266
2022-12-23,175,176.5773
2023-12-18,166,137.36383
2022-06-24,50,78.08513
2023-10-12,92,123.86066
2022-07-16,68,69.9299
2022-10-03,116,142.78938
2023-05-28,114,129.08615
2023-03-13,107,112.38028
2022-08-24,46,69.249985
2023-06-07,49,67.61309
2023-03-11,166,144.0916
2022-04-20,113,93.21796
2023-11-11,216,173.35541
2023-11-20,176,131.47003
2023-11-28,146,127.1902
2023-08-17,56,82.205635
2023-03-06,109,55.39534
2023-04-03,132,75.13478
2022-08-04,58,71.58099
2022-07-28,57,58.080055
2023-12-22,170,184.1084
2022-08-02,57,68.88017
2022-06-05,40,82.21014
2022-08-16,50,66.664856
2023-02-10,165,168.34854
2022-12-17,214,177.59619
2022-03-05,144,163.20273
2023-09-16,160,126.26529
2022-03-19,132,133.0799
2022-02-19,230,192.56715
2023-04-25,117,101.16722
2023-11-14,155,120.60552
2022-11-21,162,147.89304
2022-04-08,135,147.83676
2023-07-23,55,81.08457
2023-02-14,167,121.483986
2022-01-24,163,140.90474
2022-08-12,40,82.982895
2022-12-18,196,192.23875
2023-03-25,120,154.56906
2023-05-27,113,95.13892
2023-03-09,107,135.87311
2023-01-04,173,156.38272
2022-09-02,81,76.18924
2022-09-23,112,97.90815
2022-10-28,99,136.6796
2023-08-03,48,71.641205
2022-05-01,146,85.37833
2022-01-31,89,184.95284
2023-08-28,50,63.605373
2023-11-09,155,160.89142
2023-03-01,120,116.44939
2022-12-01,126,184.17029
2023-02-03,162,139.91177
2022-06-15,50,85.426605
2022-12-16,162,151.96655
2023-09-25,117,103.33569
2023-06-27,52,67.145905
2022-06-08,24,56.06058
2022-03-26,146,149.63618
2022-03-21,92,115.74478
2023-06-13,56,52.990383
2022-10-14,104,140.29095
2022-11-23,130,125.855736
2023-12-28,140,178.21942
2022-02-01,141,119.381386
2023-02-27,162,131.37448
2022-09-06,88,87.978
2023-12-19,166,139.18625
2023-02-22,143,123.59912
2023-04-13,88,60.803127
2023-07-26,45,54.50976
2022-02-25,141,168.25891
2023-08-18,46,84.774895
2023-05-03,101,90.93599
2022-12-28,173,165.16753
2023-08-23,65,67.19751
2023-03-26,133,172.3786
2022-03-18,133,163.53629
2022-01-03,162,92.455185
2023-04-16,163,132.14278
2023-05-13,162,74.67955
2023-06-20,37,68.3622
2022-03-02,92,147.51735
2023-12-27,149,168.42279
2023-03-08,100,75.02619
2023-01-03,152,120.653854
2023-04-27,103,153.00856
2023-08-13,59,89.21305
2023-11-06,152,114.19695
2022-06-14,52,70.65738
2022-08-23,68,89.7286
2023-06-02,54,70.53503
2022-04-01,127,89.58214
2022-12-03,229,196.60803
2023-08-20,72,101.079865
2022-03-11,94,153.71585
2022-07-30,66,69.932724
2022-05-12,90,72.52904
2022-02-14,178,110.11982
2022-03-12,149,189.0051
2023-02-09,129,139.22353
2023-01-26,166,166.06464
2022-08-07,55,91.58937
2022-05-16,87,54.093884
2022-09-18,161,98.11774
