date,ice_drink_sales_actual,ice_drink_sales_predicted
2023-04-14,111,113.12494
2022-05-29,214,232.46335
2022-10-30,187,232.76035
2022-12-22,67,72.53209
2023-05-31,97,119.20981
2022-09-24,153,231.21497
2022-03-14,86,94.49299
2022-03-23,96,94.60237
2022-05-14,174,243.44034
2022-12-09,78,87.94617
2022-12-11,108,131.73698
2023-12-12,64,70.08461
2022-03-20,163,168.9965
2023-03-10,131,101.60121
2022-07-24,306,353.04404
2022-03-28,99,92.29158
2023-04-10,121,102.4355
2022-02-03,82,80.359184
2023-08-11,184,225.90068
2022-04-29,112,125.21094
2023-01-18,67,75.240074
2023-03-07,107,89.477615
2022-09-12,118,128.72789
2023-04-29,189,160.56079
2022-07-19,188,177.61516
2022-08-09,194,180.81294
2022-10-27,107,99.862206
2022-02-09,70,79.842964
2022-08-20,299,286.20908
2022-12-30,76,89.916
2022-12-13,75,75.24598
2022-09-17,188,177.34561
2022-02-24,86,84.85316
2022-03-07,117,90.24702
2023-03-24,108,103.9504
2022-07-12,185,198.19348
2023-01-11,62,67.46499
2022-04-12,113,101.59624
2022-01-11,87,74.98418
2023-09-29,110,175.0135
2022-12-23,71,84.42045
2023-12-18,75,77.54581
2022-06-24,181,207.02034
2023-10-12,91,91.842674
2022-07-16,315,276.15875
2022-10-03,94,101.22823
2023-05-28,212,223.37427
2023-03-13,104,91.85221
2022-08-24,189,174.46286
2023-06-07,198,144.94513
2023-03-11,152,127.33744
2022-04-20,103,90.14727
2023-11-11,110,126.579414
2023-11-20,53,68.482254
2023-11-28,83,80.47564
2023-08-17,172,186.20122
2023-03-06,128,88.47804
2023-04-03,95,120.303955
2022-08-04,177,175.5714
2022-07-28,179,188.6196
2023-12-22,81,91.27877
2022-08-02,204,162.22595
2022-06-05,323,326.03653
2022-08-16,187,170.63612
2023-02-10,82,87.04934
2022-12-17,141,105.178276
2022-03-05,208,123.461685
2023-09-16,198,227.6975
2022-03-19,176,130.59042
2022-02-19,121,118.63253
2023-04-25,92,100.377365
2023-11-14,70,87.20076
2022-11-21,73,90.035286
2022-04-08,116,115.9609
2023-07-23,298,363.52972
2023-02-14,71,82.5413
2022-01-24,69,71.96614
2022-08-12,172,224.45349
2022-12-18,110,148.68852
2023-03-25,166,145.98056
2023-05-27,183,215.21008
2023-03-09,104,92.52904
2023-01-04,81,74.07736
2022-09-02,89,157.61969
2022-09-23,133,164.7772
2022-10-28,112,115.74901
2023-08-03,198,154.59155
2022-05-01,188,218.54996
2022-01-31,79,71.45373
2023-08-28,193,186.51884
2023-11-09,81,85.78061
2023-03-01,131,91.051926
2022-12-01,78,74.14046
2023-02-03,72,93.8853
2022-06-15,179,167.54114
2022-12-16,68,84.31529
2023-09-25,124,112.357475
2023-06-27,191,139.99496
2022-06-08,185,173.04462
2022-03-26,180,136.86646
2022-03-21,110,99.066025
2023-06-13,174,128.34283
2022-10-14,89,106.072556
2022-11-23,71,80.76986
2023-12-28,76,75.30845
2022-02-01,66,82.10966
2023-02-27,85,78.05344
2022-09-06,129,133.3701
2023-12-19,72,69.57367
2023-02-22,75,86.7344
2023-04-13,128,109.97805
2023-07-26,196,179.77388
2022-02-25,65,100.22846
2023-08-18,194,185.04585
2023-05-03,122,147.9482
2022-12-28,53,53.222103
2023-08-23,197,161.5262
2023-03-26,197,169.3449
2022-03-18,108,95.44613
2022-01-03,76,74.13967
2023-04-16,201,227.01048
2023-05-13,153,188.12787
2023-06-20,175,143.81429
2022-03-02,121,84.04586
2023-12-27,65,65.63823
2023-03-08,120,87.9096
2023-01-03,65,73.38864
2023-04-27,112,108.96034
2023-08-13,306,344.09213
2023-11-06,80,84.11055
2022-06-14,191,145.3793
2022-08-23,187,190.06566
2023-06-02,142,182.59549
2022-04-01,106,139.00832
2022-12-03,143,104.55394
2023-08-20,343,329.42993
2022-03-11,94,93.553604
2022-07-30,252,215.88872
2022-05-12,100,146.23412
2022-02-14,85,76.190506
2022-03-12,154,129.43349
2023-02-09,62,83.00327
2023-01-26,82,84.066666
2022-08-07,302,341.40143
2022-05-16,102,129.88518
2022-09-18,177,260.83612
