date,revenue_actual,revenue_redicted
2023-04-14,101746,121456.66
2022-05-29,118911,166130.48
2022-10-30,139098,173861.1
2022-12-22,141421,124074.64
2023-05-31,164031,163110.02
2022-09-24,154123,166077.08
2022-03-14,134002,134109.0
2022-03-23,154435,155787.05
2022-05-14,123936,131631.92
2022-12-09,189734,125033.83
2022-12-11,145733,164323.89
2023-12-12,196475,139687.47
2022-03-20,196353,144016.03
2023-03-10,134343,140656.89
2022-07-24,60543,127532.49
2022-03-28,109820,114859.37
2023-04-10,146619,145317.03
2022-02-03,134185,119221.57
2023-08-11,167230,173312.64
2022-04-29,168555,133971.55
2023-01-18,194153,135737.47
2023-03-07,86716,112495.914
2022-09-12,114746,163656.83
2023-04-29,101737,164045.28
2022-07-19,161699,147278.27
2022-08-09,167738,137984.94
2022-10-27,107174,149382.02
2022-02-09,106836,111659.57
2022-08-20,127219,183225.98
2022-12-30,73457,150379.22
2022-12-13,194770,124162.24
2022-09-17,133600,139644.8
2022-02-24,193176,115428.82
2022-03-07,162560,110592.016
2023-03-24,159599,127729.22
2022-07-12,113057,153582.81
2023-01-11,173723,127080.26
2022-04-12,104301,113585.29
2022-01-11,122855,110429.28
2023-09-29,149478,173322.6
2022-12-23,136808,161744.58
2023-12-18,100382,168631.64
2022-06-24,114206,138537.0
2023-10-12,177847,121019.13
2022-07-16,194854,120470.39
2022-10-03,108553,110859.64
2023-05-28,185954,142676.27
2023-03-13,135071,125443.45
2022-08-24,138938,147847.4
2023-06-07,156291,145885.89
2023-03-11,134800,135872.69
2022-04-20,124682,155343.28
2023-11-11,148320,143357.45
2023-11-20,122589,136697.33
2023-11-28,186475,148507.67
2023-08-17,184524,174857.28
2023-03-06,154121,91943.12
2023-04-03,149761,136883.48
2022-08-04,161248,166796.06
2022-07-28,171361,162996.77
2023-12-22,112696,145065.6
2022-08-02,199995,163513.27
2022-06-05,186888,154865.3
2022-08-16,113662,170414.23
2023-02-10,161466,155851.97
2022-12-17,188487,130040.99
2022-03-05,171303,99268.234
2023-09-16,111718,138600.6
2022-03-19,121591,130706.63
2022-02-19,122894,145530.95
2023-04-25,146410,166476.31
2023-11-14,94588,114927.62
2022-11-21,194269,160198.3
2022-04-08,135456,128773.766
2023-07-23,111019,163546.28
2023-02-14,148069,137921.45
2022-01-24,159044,149043.48
2022-08-12,109858,160973.3
2022-12-18,137777,137960.86
2023-03-25,101548,131238.39
2023-05-27,107764,156481.95
2023-03-09,101008,98071.82
2023-01-04,189467,110213.72
2022-09-02,154331,147088.64
2022-09-23,180751,153990.98
2022-10-28,189412,180460.39
2023-08-03,136090,164743.3
2022-05-01,84005,117573.15
2022-01-31,100625,143068.4
2023-08-28,169614,155294.42
2023-11-09,111017,142704.05
2023-03-01,133067,137478.8
2022-12-01,169930,161055.53
2023-02-03,86444,116408.7
2022-06-15,194800,154571.55
2022-12-16,106742,163746.8
2023-09-25,182329,168268.34
2023-06-27,166137,141535.81
2022-06-08,184104,134888.89
2022-03-26,167201,151013.98
2022-03-21,110062,154689.23
2023-06-13,131578,161649.64
2022-10-14,141442,170537.95
2022-11-23,102502,155771.08
2023-12-28,156442,180993.33
2022-02-01,153342,90568.41
2023-02-27,181155,159844.25
2022-09-06,136858,145248.08
2023-12-19,152471,127019.625
2023-02-22,142052,120792.336
2023-04-13,165785,140130.89
2023-07-26,185314,155375.34
2022-02-25,185415,134273.14
2023-08-18,66816,147979.67
2023-05-03,143406,129332.46
2022-12-28,189654,137150.3
2023-08-23,164438,153431.55
2023-03-26,154176,139243.23
2022-03-18,191918,125652.18
2022-01-03,178113,92875.71
2023-04-16,124563,152656.8
2023-05-13,123959,146927.22
2023-06-20,187254,135889.62
2022-03-02,77831,108080.43
2023-12-27,125904,185134.44
2023-03-08,171829,126154.04
2023-01-03,174160,114109.95
2023-04-27,78217,99320.65
2023-08-13,196258,167844.61
2023-11-06,121426,133496.34
2022-06-14,111741,140570.17
2022-08-23,117921,151032.81
2023-06-02,191194,139128.8
2022-04-01,84825,113826.52
2022-12-03,106753,136291.1
2023-08-20,174497,153508.3
2022-03-11,155556,117119.39
2022-07-30,129508,144112.69
2022-05-12,144144,132265.3
2022-02-14,120360,110077.164
2022-03-12,116238,118423.95
2023-02-09,117154,98209.77
2023-01-26,108785,165011.45
2022-08-07,111795,142406.19
2022-05-16,192115,132044.52
2022-09-18,195915,166305.8
