date,revenue_actual,revenue_predicted
2024-06-24,164259,143705.33
2024-07-10,180257,147178.5
2024-04-08,167506,145936.08
2024-04-22,156081,148649.95
2024-05-30,185681,150016.89
2024-06-02,152980,144984.69
2024-05-31,146211,148623.75
2024-07-22,131303,143356.02
2024-07-13,154482,147269.53
2024-06-08,141474,146088.48
2024-06-20,136701,148471.28
2024-05-11,145233,148471.97
2024-06-11,136709,146542.61
2024-06-03,151104,147230.05
2024-04-27,127310,150591.08
2024-05-08,145640,147540.55
2024-04-23,173182,149157.45
2024-04-15,167643,149545.84
2024-06-21,135785,146538.84
2024-05-22,162022,148131.16
2024-07-14,167907,147207.78
2024-03-31,109743,151411.31
2024-07-16,165684,145427.97
2024-05-02,179528,145227.73
2024-07-09,150271,147143.98
2024-08-10,147196,146837.48
2024-04-12,178713,147862.36
2024-04-14,142944,149813.08
