date,month,day,weekday,high_temp,low_temp,weather,menu_1_sales,menu_2_sales,menu_3_sales,menu_4_sales,menu_5_sales,menu_6_sales,menu_7_sales,menu_8_sales,menu_9_sales,menu_10_sales,menu_11_sales,menu_12_sales,menu_13_sales,menu_14_sales,menu_15_sales,menu_16_sales,menu_17_sales,menu_18_sales,menu_19_sales,menu_20_sales,menu_21_sales,menu_22_sales,menu_23_sales,menu_24_sales,menu_25_sales,menu_26_sales,menu_27_sales,menu_28_sales,menu_29_sales,menu_30_sales,ice_drink_sales,hot_drink_sales,revenue
2022-01-01,1,1,5,6,0,0,1,3,3,1,1,1,3,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,1,5,3,68,210,170631
2022-01-02,1,2,6,4,-3,1,2,1,1,1,1,2,2,3,1,1,1,3,1,2,1,1,2,2,1,2,1,2,1,1,1,3,1,1,1,1,63,202,136154
2022-01-03,1,3,0,3,-3,0,1,1,2,2,1,1,1,1,1,1,2,2,3,1,2,3,3,3,1,2,1,1,2,2,3,1,2,3,2,1,41,158,128241
2022-01-04,1,4,1,3,-6,1,3,2,3,1,1,1,2,1,1,4,1,4,2,3,2,1,3,1,1,1,1,1,1,1,1,3,2,2,2,2,72,175,159691
2022-01-05,1,5,2,3,-5,0,1,2,3,1,2,1,3,1,3,2,1,1,1,1,1,1,3,4,1,3,1,1,3,1,1,1,3,1,1,3,43,156,167222
2022-01-06,1,6,3,1,-5,1,2,1,1,3,2,1,1,2,2,1,4,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,63,170,146400
2022-01-07,1,7,4,3,-4,1,2,2,1,1,2,1,2,3,1,2,2,3,1,3,1,2,1,1,2,3,1,1,1,2,2,2,1,1,2,2,54,184,171320
2022-01-08,1,8,5,3,-6,0,2,2,1,1,1,2,1,1,1,1,3,1,1,2,2,2,2,1,2,1,2,2,1,1,4,1,2,2,1,2,73,225,151479
2022-01-09,1,9,6,9,3,0,4,1,1,2,3,2,4,2,1,2,3,1,1,1,2,1,2,3,1,2,1,1,3,1,4,2,2,1,1,1,77,215,153451
2022-01-10,1,10,0,4,-3,1,2,2,2,3,2,1,2,1,2,1,2,4,1,1,2,1,1,1,1,2,4,2,3,1,1,1,1,1,4,1,51,193,149696
2022-01-11,1,11,1,6,0,0,2,1,2,1,3,1,2,2,1,2,1,1,1,2,4,3,1,1,2,3,2,1,1,1,2,1,4,1,3,3,61,166,161879
2022-01-12,1,12,2,1,-4,0,1,1,2,2,2,4,1,2,2,1,2,2,1,1,3,2,1,1,3,1,1,2,2,1,2,1,2,2,3,2,46,176,168759
2022-01-13,1,13,3,9,0,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,2,2,1,4,2,2,2,2,63,162,151919
2022-01-14,1,14,4,0,-7,1,3,2,3,1,3,1,1,1,3,2,1,1,1,3,1,1,2,1,2,1,1,4,3,1,1,3,2,3,1,1,69,167,154894
2022-01-15,1,15,5,7,-2,1,1,1,3,3,2,1,1,1,1,2,1,1,1,2,1,1,1,2,4,2,3,2,2,2,2,4,1,1,1,2,68,229,131844
2022-01-16,1,16,6,6,-2,1,1,2,1,3,2,2,2,2,3,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,71,192,153549
2022-01-17,1,17,0,5,-2,0,1,2,2,1,4,1,1,1,1,1,2,1,2,2,1,3,2,3,1,2,1,2,2,1,1,3,2,1,2,3,61,162,126459
2022-01-18,1,18,1,1,-6,0,2,1,1,2,1,2,1,2,1,1,1,3,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,4,1,44,157,162504
2022-01-19,1,19,2,7,0,0,1,1,1,2,1,2,1,2,4,1,2,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,51,175,126724
2022-01-20,1,20,3,2,-3,0,1,1,2,1,1,2,2,2,1,1,2,1,3,1,1,1,1,1,2,2,1,1,2,1,1,3,2,1,1,1,63,151,126271
2022-01-21,1,21,4,7,-2,2,0,0,0,1,1,0,3,1,0,1,2,0,1,0,1,1,2,0,3,3,1,1,0,1,0,0,1,1,1,1,45,144,103425
2022-01-22,1,22,5,3,-4,0,2,1,1,1,3,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,4,1,2,2,1,2,3,84,200,180800
2022-01-23,1,23,6,6,0,2,3,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,1,0,1,0,52,202,129282
2022-01-24,1,24,0,1,-4,0,1,2,4,1,1,2,1,3,2,2,1,2,2,3,1,2,2,2,2,2,1,1,1,3,2,1,2,3,1,1,66,163,172573
2022-01-25,1,25,1,1,-7,0,1,2,2,1,3,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,55,169,176998
2022-01-26,1,26,2,4,-3,0,1,2,1,1,2,1,3,1,1,2,1,1,3,2,1,3,3,2,2,1,1,1,2,1,2,2,1,1,1,2,48,151,164406
2022-01-27,1,27,3,1,-8,0,2,1,3,2,2,2,2,1,4,3,3,1,1,1,1,2,2,2,1,3,1,1,1,2,1,2,3,1,1,1,69,178,132960
