date,month,day,weekday,high_temp,low_temp,weather,ジャーマンドッグ,レタスドッグ,チーズドッグ,生ハムさんど,エビアボカドサンド,トルコライス,カレー,エビグラタン,ミートドリア,ハンバーグドリア,ピザトースト,唐揚げ,フライドポテト,カンノーロ,コーヒーゼリーパフェ,アイスコーヒー,ブレンドコーヒー,沖縄黒糖ラテ,ice_drink_sales,hot_drink_sales,revenue
2024-03-27,3,27,2,13,7,0,5,3,4,5,5,1,2,2,1,1,5,2,1,1,1,88,44,9,106,115,163001
2024-03-28,3,28,3,6,-3,0,5,5,3,6,6,2,2,2,1,1,4,2,1,1,1,51,63,7,107,108,136781
2024-03-29,3,29,4,14,8,0,3,3,3,5,7,2,2,2,1,1,4,1,1,2,1,84,72,7,109,94,144799
2024-03-30,3,30,5,13,4,0,5,5,3,6,4,1,2,1,1,1,5,1,1,2,1,73,38,8,127,131,149641
2024-03-31,3,31,6,10,4,1,6,3,3,5,8,2,3,1,1,1,5,1,1,2,1,88,56,5,128,135,109743
2024-04-01,4,1,0,13,5,0,5,5,4,5,6,2,3,1,1,1,6,2,1,2,1,81,43,8,127,94,135018
2024-04-02,4,2,1,18,8,1,5,6,2,6,7,1,3,1,1,1,5,1,1,2,1,96,34,9,94,113,150938
2024-04-03,4,3,2,12,6,0,5,2,4,6,4,2,2,1,1,1,4,2,2,2,1,83,37,6,87,131,152983
2024-04-04,4,4,3,12,6,0,4,6,5,5,5,2,3,1,1,1,4,1,1,1,1,67,53,8,112,96,128822
2024-04-05,4,5,4,18,8,1,6,3,4,5,5,1,4,2,1,1,5,2,2,2,1,62,40,9,96,116,142252
2024-04-06,4,6,5,16,8,1,6,5,2,4,7,1,2,2,1,1,4,1,2,2,1,59,53,3,156,123,150137
2024-04-07,4,7,6,11,5,0,6,5,2,6,6,1,3,1,1,1,4,2,1,1,1,84,48,4,148,142,148276
2024-04-08,4,8,0,15,6,1,6,4,5,7,8,2,3,1,1,1,5,2,2,2,1,111,42,8,121,100,167506
2024-04-09,4,9,1,12,2,0,6,2,3,5,5,2,3,2,1,1,5,1,1,1,1,95,56,6,93,122,133046
2024-04-10,4,10,2,11,1,2,5,5,3,5,4,0,2,0,0,0,5,0,1,1,0,80,34,5,93,104,135435
2024-04-11,4,11,3,16,8,0,7,5,4,6,6,1,2,1,1,1,4,1,2,2,1,92,64,8,141,98,163698
2024-04-12,4,12,4,13,7,0,5,6,2,4,5,2,3,2,1,1,4,1,1,2,1,110,51,8,105,137,178713
2024-04-13,4,13,5,11,5,0,6,4,2,3,9,2,3,2,1,1,5,1,1,2,1,96,58,7,114,149,122245
2024-04-14,4,14,6,14,4,0,4,4,3,5,6,1,3,1,1,1,4,1,2,2,1,98,50,8,119,139,142944
2024-04-15,4,15,0,11,2,0,6,4,4,6,10,1,2,1,1,1,3,2,1,2,1,87,46,7,120,104,167643
2024-04-16,4,16,1,18,10,0,5,3,2,6,7,2,2,1,1,1,3,2,1,2,1,80,54,5,112,129,147373
2024-04-17,4,17,2,14,8,1,9,5,3,5,6,1,2,1,1,1,5,2,2,2,1,87,54,9,122,109,162530
2024-04-18,4,18,3,11,4,2,5,2,3,6,6,0,1,0,0,0,3,1,1,1,0,71,36,6,94,107,121569
2024-04-19,4,19,4,17,10,0,5,3,3,5,8,1,2,1,1,1,5,2,2,2,1,87,49,7,116,114,178593
2024-04-20,4,20,5,13,3,0,6,4,5,6,9,1,3,2,1,1,4,1,2,2,1,46,49,7,114,169,150681
2024-04-21,4,21,6,10,0,0,8,5,4,6,7,2,3,2,1,1,5,2,2,1,1,69,56,7,126,166,149581
2024-04-22,4,22,0,14,8,1,6,5,3,7,8,1,1,1,1,1,4,1,1,1,1,60,39,9,138,101,156081
2024-04-23,4,23,1,19,13,0,6,4,4,8,6,2,1,2,1,1,3,1,2,1,1,51,67,6,101,107,173182
2024-04-24,4,24,2,17,10,0,6,4,5,6,7,1,2,2,1,1,3,1,1,2,1,90,50,9,132,106,141064
2024-04-25,4,25,3,11,4,1,5,3,4,6,6,1,3,2,1,1,5,1,2,1,1,75,52,7,93,125,170866
2024-04-26,4,26,4,10,2,2,6,3,4,6,5,1,2,2,0,0,2,1,1,1,0,50,52,3,109,90,139345
2024-04-27,4,27,5,12,4,2,6,4,2,4,3,0,0,0,0,0,3,0,0,1,0,82,48,7,142,100,127310
2024-04-28,4,28,6,16,8,0,4,4,4,5,4,1,3,2,1,1,4,2,2,1,1,81,52,8,107,154,156669
2024-04-29,4,29,0,15,9,0,3,5,4,5,10,1,2,1,1,1,6,1,1,1,1,53,61,10,132,104,145198
2024-04-30,4,30,1,17,11,0,8,4,3,5,8,1,2,1,1,1,6,2,1,2,1,70,49,8,129,106,175482
2024-05-01,5,1,2,18,11,1,4,4,5,6,7,1,3,2,1,1,6,2,1,2,1,110,45,10,103,96,139312
2024-05-02,5,2,3,19,11,1,6,4,4,5,5,2,3,1,1,1,2,2,2,1,1,69,59,9,132,105,179528
2024-05-03,5,3,4,21,14,1,5,6,3,7,7,2,2,2,1,1,4,1,1,1,1,98,49,10,128,107,130802
2024-05-04,5,4,5,23,14,0,4,6,4,7,4,2,2,2,1,1,5,2,1,1,1,92,36,9,125,143,151666
2024-05-05,5,5,6,19,10,0,6,5,4,5,9,2,2,1,1,1,5,1,2,2,1,60,61,7,158,117,160371
2024-05-06,5,6,0,17,10,0,5,3,5,6,7,2,3,2,1,1,4,2,1,1,1,91,44,8,103,106,139980
2024-05-07,5,7,1,20,14,0,5,6,3,5,10,2,2,1,1,1,4,1,2,1,1,77,61,6,94,107,179868
2024-05-08,5,8,2,16,8,0,7,5,4,6,5,1,3,1,1,1,4,2,1,2,1,78,49,8,93,129,145640
2024-05-09,5,9,3,20,13,0,5,6,3,4,7,1,3,2,1,1,6,2,1,2,1,86,52,6,126,91,176474
2024-05-10,5,10,4,21,12,2,5,3,3,5,5,0,2,1,0,0,3,0,1,1,0,89,32,6,103,97,119118
2024-05-11,5,11,5,15,6,0,5,5,4,6,6,1,3,1,1,1,3,1,2,2,1,77,61,9,119,158,145233
2024-05-12,5,12,6,22,13,0,6,3,3,7,5,2,3,1,1,1,2,1,2,2,1,41,58,8,136,162,123626
2024-05-13,5,13,0,15,7,2,3,2,3,3,5,1,2,1,0,0,4,1,1,1,0,79,40,5,83,122,156854
2024-05-14,5,14,1,18,9,0,6,4,5,4,6,2,1,1,1,1,6,1,2,2,1,59,66,8,96,116,142594
2024-05-15,5,15,2,23,16,1,3,5,3,5,6,2,2,2,1,1,5,2,2,1,1,75,43,10,103,100,121700
2024-05-16,5,16,3,18,10,0,8,5,3,5,6,1,3,2,1,1,3,2,2,2,1,77,56,6,90,130,157055
2024-05-17,5,17,4,18,11,0,7,2,2,6,7,1,1,1,1,1,2,1,1,1,1,81,46,11,120,119,129172
2024-05-18,5,18,5,22,16,0,6,4,4,7,5,1,2,1,1,1,5,1,2,2,1,65,54,7,125,156,136843
2024-05-19,5,19,6,18,11,0,5,3,3,5,7,1,2,1,1,1,4,2,2,2,1,82,50,9,112,164,139563
2024-05-20,5,20,0,16,6,0,3,3,2,6,5,2,2,1,1,1,6,1,2,2,1,54,52,6,94,135,165644
2024-05-21,5,21,1,20,10,0,7,5,4,6,3,2,3,2,1,1,5,2,2,2,1,68,40,7,85,114,165074
2024-05-22,5,22,2,19,11,0,6,5,2,6,7,2,3,1,1,1,5,1,2,2,1,85,53,8,117,126,162022
2024-05-23,5,23,3,18,8,0,3,4,3,5,9,2,3,1,1,1,4,2,1,2,1,75,62,6,112,117,130646
2024-05-24,5,24,4,24,17,0,5,4,4,6,8,1,3,1,1,1,6,1,1,1,1,75,44,7,133,98,137635
2024-05-25,5,25,5,21,15,0,6,3,4,6,6,1,3,1,1,1,4,2,1,1,1,78,49,9,142,135,160227
2024-05-26,5,26,6,15,6,0,5,5,4,4,6,2,3,1,1,1,7,2,1,1,1,79,68,6,107,154,121859
2024-05-27,5,27,0,20,13,0,7,3,3,7,7,2,3,2,1,1,3,2,2,1,1,88,45,8,115,114,168835
2024-05-28,5,28,1,22,14,0,6,4,4,5,7,1,2,1,1,1,5,1,2,2,1,63,59,7,95,132,149296
2024-05-29,5,29,2,20,13,2,4,4,3,4,5,1,1,1,0,0,2,1,1,0,0,64,29,7,103,72,132144
2024-05-30,5,30,3,17,7,0,7,4,2,4,5,2,3,1,1,1,5,1,1,2,1,93,47,7,117,128,185681
2024-05-31,5,31,4,17,10,0,5,5,3,3,4,2,3,1,1,1,3,2,1,2,1,79,48,4,110,107,146211
2024-06-01,6,1,5,23,16,0,4,8,4,7,4,2,3,2,1,1,5,2,2,1,1,81,51,7,201,62,151147
2024-06-02,6,2,6,26,16,1,6,5,4,5,4,1,2,1,1,1,5,2,2,1,1,87,49,7,221,69,152980
2024-06-03,6,3,0,19,12,0,7,4,4,4,5,1,2,2,1,1,3,2,2,2,1,65,54,8,182,59,151104
2024-06-04,6,4,1,25,18,0,6,6,3,5,5,2,2,2,1,1,6,1,1,2,1,86,36,7,187,53,159895
2024-06-05,6,5,2,18,11,0,5,4,4,7,8,2,2,2,1,1,5,1,2,2,1,70,59,6,174,57,187047
2024-06-06,6,6,3,18,9,0,6,4,4,3,5,2,2,1,1,1,3,2,2,1,1,104,54,5,175,49,160108
2024-06-07,6,7,4,19,12,1,7,3,5,6,8,2,3,2,1,1,3,1,2,1,1,101,48,9,160,52,143846
2024-06-08,6,8,5,19,13,0,2,2,4,4,7,2,3,1,1,1,5,1,2,2,1,71,44,6,221,70,141474
2024-06-09,6,9,6,24,14,0,5,5,5,8,7,1,2,1,1,1,4,3,2,2,1,93,55,7,213,69,126258
2024-06-10,6,10,0,19,13,1,5,4,4,7,7,2,2,2,1,1,6,2,1,2,1,74,80,13,182,59,156989
2024-06-11,6,11,1,27,21,0,5,6,4,4,9,1,3,2,1,1,4,1,1,1,1,75,36,9,166,48,136709
2024-06-12,6,12,2,22,12,0,5,4,5,6,9,2,3,2,1,1,5,2,2,2,1,52,37,9,196,49,174993
2024-06-13,6,13,3,20,12,1,7,3,5,5,6,1,2,1,1,1,5,2,1,1,1,60,47,7,186,55,114147
2024-06-14,6,14,4,21,13,0,7,6,4,6,8,2,2,2,1,1,6,1,2,2,1,62,40,7,187,56,131402
2024-06-15,6,15,5,26,17,0,8,5,4,6,5,1,3,2,1,1,4,2,2,1,1,91,35,9,213,61,144265
2024-06-16,6,16,6,21,13,1,5,6,3,5,7,1,3,2,1,1,5,1,2,1,1,94,49,6,198,51,127438
2024-06-17,6,17,0,18,12,0,8,4,3,4,7,1,3,1,1,1,4,1,1,1,1,80,53,8,169,49,173788
2024-06-18,6,18,1,22,12,0,7,4,5,4,5,2,3,2,1,1,7,2,2,1,1,49,45,7,180,46,146413
2024-06-19,6,19,2,24,17,2,5,4,3,6,6,1,1,1,0,0,5,0,1,1,0,47,38,7,138,38,115921
2024-06-20,6,20,3,22,12,0,6,4,4,5,7,1,2,2,1,1,5,2,1,2,1,94,63,8,168,43,136701
2024-06-21,6,21,4,19,12,1,6,3,3,5,7,1,3,1,1,1,5,1,1,1,1,54,43,4,165,44,135785
2024-06-22,6,22,5,22,14,0,6,2,3,6,8,2,3,2,1,1,5,2,2,2,1,75,26,9,214,69,167212
2024-06-23,6,23,6,20,10,2,5,3,2,4,4,1,0,0,0,0,4,1,1,0,0,66,46,4,168,50,118851
2024-06-24,6,24,0,21,12,1,6,4,4,6,4,1,2,1,1,1,5,1,1,2,1,77,57,9,175,49,164259
2024-06-25,6,25,1,24,14,0,4,2,2,6,6,2,3,1,1,1,4,1,1,2,1,76,53,5,177,48,149586
2024-06-26,6,26,2,25,16,0,6,4,3,6,5,1,2,2,1,1,4,1,2,1,1,64,34,7,158,47,155434
2024-06-27,6,27,3,18,9,0,5,6,4,6,6,2,3,2,1,1,5,1,2,2,1,75,55,6,173,50,133795
2024-06-28,6,28,4,21,15,1,6,5,3,6,9,2,2,2,1,1,5,2,1,2,1,90,47,9,179,46,150840
2024-06-29,6,29,5,23,16,2,4,1,2,4,6,0,1,0,0,0,3,1,1,0,0,59,46,10,183,60,123130
2024-06-30,6,30,6,27,18,0,6,4,4,4,7,1,2,2,1,1,4,1,2,1,1,68,43,8,224,59,144363
2024-07-01,7,1,0,31,22,1,5,5,5,5,4,1,3,2,1,1,5,1,2,2,1,87,41,8,179,56,152869
2024-07-02,7,2,1,26,19,0,6,4,4,6,7,1,3,2,1,1,4,2,1,2,1,96,49,5,186,55,141881
2024-07-03,7,3,2,28,22,0,6,5,4,3,6,2,3,1,1,1,4,1,2,1,1,90,49,8,166,47,159220
2024-07-04,7,4,3,31,23,1,5,5,5,7,4,2,2,2,1,1,5,2,2,2,1,99,49,7,157,52,139404
2024-07-05,7,5,4,26,19,0,4,5,4,6,4,1,2,2,1,1,5,2,2,1,1,90,70,7,172,49,125181
2024-07-06,7,6,5,30,21,0,7,4,4,5,9,2,3,1,1,1,3,1,1,2,1,76,58,8,211,64,157271
2024-07-07,7,7,6,23,13,1,6,5,3,7,6,1,3,1,1,1,6,1,1,1,1,65,24,8,207,65,152404
2024-07-08,7,8,0,23,14,2,4,4,2,4,5,1,1,0,0,0,4,0,1,0,0,53,44,5,150,49,158152
2024-07-09,7,9,1,28,20,0,6,6,4,6,3,1,3,1,1,1,6,2,1,1,1,83,57,10,179,53,150271
2024-07-10,7,10,2,27,18,0,5,3,4,5,3,2,4,1,1,1,6,2,1,1,1,90,35,9,179,56,180257
2024-07-11,7,11,3,29,20,0,6,3,4,7,6,2,3,2,1,1,6,1,1,1,1,66,38,8,155,46,115946
2024-07-12,7,12,4,25,16,1,5,4,4,6,8,1,3,2,1,1,4,2,1,1,1,110,38,11,172,56,156883
2024-07-13,7,13,5,24,15,0,5,4,4,6,6,1,2,1,1,1,6,2,1,1,1,97,66,6,231,59,154482
2024-07-14,7,14,6,23,14,0,5,5,2,5,6,1,3,2,1,1,3,2,2,2,1,65,42,9,219,68,167907
2024-07-15,7,15,0,31,22,0,6,5,3,5,8,2,2,2,1,1,7,2,1,2,1,52,58,7,184,47,115892
2024-07-16,7,16,1,27,17,1,6,4,3,8,5,1,3,1,1,1,5,2,1,1,1,62,42,9,188,52,165684
2024-07-17,7,17,2,24,18,2,4,4,3,5,4,1,0,1,0,0,4,1,1,1,0,75,36,5,142,42,117381
2024-07-18,7,18,3,22,14,0,6,4,3,7,6,1,2,1,1,1,3,2,1,2,1,83,58,5,153,49,100763
2024-07-19,7,19,4,24,18,2,3,4,2,6,6,1,2,0,0,0,4,1,0,0,0,43,42,5,145,39,133000
2024-07-20,7,20,5,24,16,1,7,5,3,6,6,2,3,1,1,1,7,2,2,2,1,84,35,7,226,61,171377
2024-07-21,7,21,6,31,24,0,5,5,4,4,7,1,1,2,1,1,2,2,1,1,1,58,55,7,207,58,143110
2024-07-22,7,22,0,22,15,1,5,4,4,8,7,1,2,1,1,1,4,1,2,1,1,83,52,6,170,50,131303
2024-07-23,7,23,1,27,19,0,5,5,4,7,6,2,2,2,1,1,5,1,2,2,1,100,55,5,196,52,139545
2024-07-24,7,24,2,23,17,2,4,3,1,4,5,0,1,0,0,0,4,0,0,0,0,70,37,7,148,45,114549
2024-07-25,7,25,3,22,15,0,4,6,3,4,3,1,2,2,1,1,5,1,2,2,1,92,47,7,165,49,152456
2024-07-26,7,26,4,23,13,1,6,4,3,5,7,2,2,1,1,1,3,1,2,1,1,83,41,11,179,54,161407
2024-07-27,7,27,5,29,20,0,7,6,2,7,6,1,3,1,1,1,5,1,1,2,1,93,38,8,208,63,174004
2024-07-28,7,28,6,30,24,0,6,5,5,4,8,2,3,2,1,1,6,2,2,1,1,83,50,4,226,68,155053
2024-07-29,7,29,0,25,18,0,5,4,4,7,7,2,3,2,1,1,3,1,1,1,1,51,29,5,177,53,175028
2024-07-30,7,30,1,30,23,0,5,3,3,5,6,2,3,1,1,1,4,2,1,1,1,72,54,6,170,55,168478
2024-07-31,7,31,2,26,20,0,4,5,3,7,5,1,3,1,1,1,6,2,2,2,1,96,46,8,182,53,168608
2024-08-01,8,1,3,31,23,1,7,3,3,6,4,2,2,2,1,1,6,2,1,2,1,102,56,8,192,56,133061
2024-08-02,8,2,4,23,15,0,8,4,4,5,8,2,3,1,1,1,5,1,2,1,1,95,52,6,156,49,148722
2024-08-03,8,3,5,24,17,0,6,6,4,7,8,3,2,2,1,1,4,2,1,2,1,94,55,7,209,62,153724
2024-08-04,8,4,6,31,25,0,7,6,5,5,8,1,2,1,1,1,3,1,2,1,1,60,38,10,193,62,123709
2024-08-05,8,5,0,28,21,1,6,5,4,7,7,1,3,1,1,1,5,1,1,2,1,113,52,6,195,52,184306
2024-08-06,8,6,1,22,13,0,6,4,3,4,5,2,2,1,1,1,4,1,2,2,1,83,40,8,171,49,135418
2024-08-07,8,7,2,22,13,1,4,3,4,6,6,2,4,1,1,1,5,2,2,2,1,78,58,7,183,47,146313
2024-08-08,8,8,3,29,19,0,5,5,4,4,8,1,2,1,1,1,5,1,2,1,1,67,34,7,175,45,147118
2024-08-09,8,9,4,23,13,1,5,5,3,6,6,1,3,2,1,1,5,2,1,1,1,100,42,9,168,47,154440
2024-08-10,8,10,5,29,22,0,4,6,4,5,6,2,1,2,1,1,4,2,1,2,1,48,43,7,214,66,147196
2024-08-11,8,11,6,27,18,1,7,5,4,6,8,2,2,1,1,1,4,2,2,1,1,70,55,7,227,63,127414
