date,month,weekday,high_temp,low_temp,weather,ジャーマンドッグ,レタスドッグ,チーズドッグ,生ハムさんど,エビアボカドサンド,トルコライス,カレー,エビグラタン,ミートドリア,ハンバーグドリア,ピザトースト,唐揚げ,フライドポテト,カンノーロ,コーヒーゼリーパフェ,アイスコーヒー,ブレンドコーヒー,沖縄黒糖ラテ,ice_drink_sales,hot_drink_sales,revenue
2024-03-27,3,2,6,-3,0,3,4,3,4,7,1,2,2,1,1,4,2,1,3,1,84,34,8,111,120,134797
2024-03-28,3,3,11,4,0,7,4,3,8,6,2,2,2,1,1,3,2,1,1,1,52,55,8,141,105,172842
2024-03-29,3,4,7,-2,0,5,3,3,6,7,1,3,2,1,1,5,2,2,2,1,102,44,9,114,98,147023
2024-03-30,3,5,14,4,0,6,4,4,5,8,1,3,1,1,1,5,1,2,2,1,90,69,7,144,131,168453
2024-03-31,3,6,5,0,1,5,5,3,7,5,1,3,1,1,1,6,1,2,1,1,85,40,10,143,129,152903
2024-04-01,4,0,10,0,0,5,5,4,4,4,1,3,2,1,1,6,2,2,2,1,81,44,6,142,100,139845
2024-04-02,4,1,19,9,2,4,4,2,6,6,0,2,1,0,0,2,0,0,1,0,62,38,6,77,110,125372
2024-04-03,4,2,17,9,2,4,4,2,4,5,0,1,0,0,0,3,0,0,0,0,41,39,6,101,100,131541
2024-04-04,4,3,13,7,1,7,5,2,8,7,2,2,1,1,1,3,1,2,1,1,68,57,7,106,99,124224
2024-04-05,4,4,18,8,0,4,5,3,6,5,1,2,1,1,1,5,2,2,1,1,88,50,7,135,91,108405
2024-04-06,4,5,19,10,1,4,3,3,6,6,2,2,2,1,1,4,1,1,2,1,81,47,6,146,104,150858
2024-04-07,4,6,15,5,1,6,4,3,5,7,2,2,1,1,1,3,1,1,2,1,59,54,8,144,138,120723
2024-04-08,4,0,15,7,1,5,5,4,5,7,1,3,2,1,1,5,1,1,1,1,74,41,10,108,95,138004
2024-04-09,4,1,17,10,1,5,4,4,5,7,2,3,1,1,1,5,2,2,1,1,84,41,7,114,99,149343
2024-04-10,4,2,17,8,1,3,3,5,6,9,2,3,1,1,1,5,1,2,2,1,89,49,6,124,84,159364
2024-04-11,4,3,10,0,2,4,4,3,4,5,1,1,1,0,0,3,1,0,0,0,68,62,4,98,70,112871
2024-04-12,4,4,13,6,1,6,4,2,5,7,2,4,2,1,1,3,1,2,1,1,89,48,7,122,101,182241
2024-04-13,4,5,17,11,0,6,4,3,4,8,2,3,2,1,1,3,2,1,1,1,73,49,6,162,115,143217
2024-04-14,4,6,17,9,2,4,4,2,4,4,1,2,1,0,0,4,1,1,1,0,56,44,4,139,93,127336
2024-04-15,4,0,15,9,1,6,3,3,6,7,2,3,2,1,1,4,1,1,2,1,77,49,9,90,120,152240
2024-04-16,4,1,10,4,1,7,3,5,5,6,2,3,2,1,1,4,1,2,2,1,93,54,7,126,97,128446
2024-04-17,4,2,17,8,2,3,4,2,4,6,0,1,1,0,0,4,0,1,1,0,67,50,9,112,81,124889
2024-04-18,4,3,11,2,1,4,3,3,6,5,1,4,2,1,1,3,1,1,1,1,122,53,6,96,114,134241
2024-04-19,4,4,17,11,1,5,6,5,7,7,2,3,3,1,1,3,2,1,2,1,70,62,10,101,104,169117
2024-04-20,4,5,17,7,0,6,7,4,4,7,1,2,2,1,1,4,1,2,2,1,70,58,7,167,121,149750
2024-04-21,4,6,12,5,0,7,4,3,6,6,1,2,2,1,1,6,1,1,2,1,110,47,8,147,127,120998
2024-04-22,4,0,10,2,0,5,4,4,6,8,2,2,1,1,1,5,1,2,1,1,72,53,7,128,110,178762
2024-04-23,4,1,16,8,0,5,4,3,6,6,2,3,1,1,1,5,1,2,2,1,85,49,10,122,105,153287
2024-04-24,4,2,17,9,0,8,3,2,8,7,1,3,1,1,1,3,2,1,1,1,46,56,7,97,108,169807
2024-04-25,4,3,15,6,1,4,5,4,5,8,2,3,2,1,1,5,1,1,2,1,73,58,8,134,106,156620
2024-04-26,4,4,13,5,0,6,5,3,6,6,2,3,2,1,1,4,2,1,1,1,75,61,6,134,92,195039
2024-04-27,4,5,12,5,0,6,5,3,4,8,1,3,2,1,1,4,1,1,2,1,66,41,6,120,150,179757
2024-04-28,4,6,14,4,0,4,5,5,6,5,1,3,1,1,1,4,2,2,2,1,85,53,8,134,140,143528
2024-04-29,4,0,18,11,1,4,5,3,5,7,1,4,2,1,1,4,2,1,2,1,85,59,7,104,121,159727
2024-04-30,4,1,13,5,0,6,3,5,6,9,2,3,2,1,1,5,1,1,2,1,95,40,7,108,115,170436
2024-05-01,5,2,16,6,0,5,4,5,6,6,1,3,1,1,1,6,1,1,2,1,97,59,7,112,126,170884
2024-05-02,5,3,19,9,0,5,5,2,5,4,1,3,1,1,1,4,2,1,2,1,46,55,6,102,97,122035
2024-05-03,5,4,20,12,0,4,4,3,5,6,2,3,1,1,1,4,1,2,1,1,95,46,4,122,111,193086
2024-05-04,5,5,21,13,0,6,6,3,6,5,2,3,1,1,1,4,2,1,2,1,86,52,7,145,111,152935
2024-05-05,5,6,17,7,0,4,4,2,8,7,1,3,1,1,1,3,2,1,2,1,66,36,9,177,119,157746
2024-05-06,5,0,22,16,0,5,5,3,5,5,1,3,2,1,1,6,1,2,2,1,72,56,6,94,127,155283
2024-05-07,5,1,18,10,1,3,6,3,6,9,1,2,2,1,1,3,2,1,2,1,84,65,7,108,105,140600
2024-05-08,5,2,18,11,1,5,4,4,7,5,1,3,2,1,1,4,2,1,2,1,88,53,12,111,118,164222
2024-05-09,5,3,17,10,1,3,6,4,5,5,2,3,2,1,1,6,2,2,2,1,115,45,8,93,107,140878
2024-05-10,5,4,21,14,0,3,6,3,4,5,2,2,2,1,1,5,1,1,2,1,67,27,9,99,103,140321
2024-05-11,5,5,23,16,0,7,3,4,3,5,2,3,1,1,1,3,1,1,2,1,113,35,6,152,142,122160
2024-05-12,5,6,20,10,0,5,3,4,6,6,1,2,1,1,1,4,1,1,2,1,83,43,9,170,122,192986
2024-05-13,5,0,23,14,1,6,4,3,7,5,1,2,2,1,1,5,1,1,2,1,37,45,6,139,93,156526
2024-05-14,5,1,23,17,0,5,2,5,4,7,2,3,1,1,1,4,2,1,2,1,46,36,5,90,122,151471
2024-05-15,5,2,21,14,1,2,6,2,5,6,2,2,1,1,1,5,2,2,2,1,103,42,7,110,106,156475
2024-05-16,5,3,15,7,0,5,5,3,5,8,1,2,1,1,1,3,1,2,2,1,73,47,9,91,120,152374
2024-05-17,5,4,22,15,1,6,4,4,7,4,2,2,2,1,1,4,1,1,2,1,72,45,7,87,122,146370
2024-05-18,5,5,17,9,1,7,3,4,7,9,1,2,1,1,1,3,1,2,2,1,68,41,9,136,159,153853
2024-05-19,5,6,23,15,0,7,3,3,5,5,1,2,2,1,1,3,2,2,1,1,80,57,5,104,157,153487
2024-05-20,5,0,24,15,2,4,5,2,3,8,1,1,0,0,0,4,1,0,1,0,62,47,5,85,99,132420
2024-05-21,5,1,22,16,2,5,4,3,3,6,0,1,1,0,0,4,1,0,1,0,85,40,5,108,90,130740
2024-05-22,5,2,15,9,2,3,2,4,6,5,0,1,1,0,0,2,0,1,0,0,83,36,8,104,97,108347
2024-05-23,5,3,21,11,1,4,4,3,6,6,2,2,2,1,1,4,2,1,1,1,76,53,6,99,133,144983
2024-05-24,5,4,23,15,0,5,3,4,5,6,1,3,2,1,1,6,1,2,1,1,88,45,7,98,117,161962
2024-05-25,5,5,22,12,1,6,4,3,8,5,2,3,1,1,1,3,2,2,2,1,66,67,8,150,132,139070
2024-05-26,5,6,18,8,1,5,6,4,6,7,2,3,1,1,1,6,1,1,1,1,63,63,8,131,123,171096
2024-05-27,5,0,16,9,0,8,2,3,6,9,2,2,2,1,1,6,1,2,2,1,66,51,5,102,136,147668
2024-05-28,5,1,15,6,0,7,4,4,5,8,1,2,2,1,1,5,2,2,2,1,83,45,7,138,100,142713
2024-05-29,5,2,17,9,0,5,4,4,7,6,2,2,2,1,1,4,2,2,2,1,62,53,7,89,121,155987
2024-05-30,5,3,23,14,2,5,2,1,6,6,1,2,1,0,0,3,0,0,1,0,66,33,7,115,82,110340
2024-05-31,5,4,15,8,2,2,1,3,2,5,1,2,0,0,0,4,1,0,0,0,84,51,7,96,84,129591
2024-06-01,6,5,20,10,1,5,5,4,6,10,2,3,1,1,1,5,1,2,2,1,77,47,6,217,68,147250
2024-06-02,6,6,24,15,0,6,4,4,5,8,1,2,1,1,1,5,2,2,2,1,89,65,7,224,59,151477
2024-06-03,6,0,18,9,0,7,3,3,7,6,2,2,1,1,1,4,2,2,2,1,85,44,8,175,57,124248
2024-06-04,6,1,19,10,1,5,6,2,4,7,1,2,2,1,1,6,2,1,1,1,67,36,8,183,55,180760
