date,month,day,weekday,high_temp,low_temp,weather,ジャーマンドッグ,レタスドッグ,チーズドッグ,生ハムさんど,エビアボカドサンド,トルコライス,カレー,エビグラタン,ミートドリア,ハンバーグドリア,ピザトースト,唐揚げ,フライドポテト,カンノーロ,コーヒーゼリーパフェ,アイスコーヒー,ブレンドコーヒー,沖縄黒糖ラテ,ice_drink_sales,hot_drink_sales,revenue
2024-03-27,3,27,2,8,0,1,7,5,5,6,6,1,3,1,1,1,4,1,1,1,1,107,53,10,96,109,157913
2024-03-28,3,28,3,12,2,1,3,3,4,4,7,2,2,1,1,1,5,2,2,2,1,91,46,6,92,136,170107
2024-03-29,3,29,4,9,2,0,7,3,4,5,4,1,3,2,1,1,5,1,1,2,1,46,46,9,105,111,136466
2024-03-30,3,30,5,9,1,0,4,4,3,3,6,2,3,1,1,1,5,2,1,2,1,86,52,7,102,152,154522
2024-03-31,3,31,6,13,5,0,3,5,3,5,4,2,2,2,1,1,6,2,1,2,1,88,59,7,133,123,130430
2024-04-01,4,1,0,15,8,2,5,3,3,5,3,1,3,0,0,0,4,0,0,1,0,57,34,3,93,112,136011
2024-04-02,4,2,1,13,6,2,3,3,2,4,5,1,2,0,0,0,3,1,1,1,0,66,38,9,92,90,133457
2024-04-03,4,3,2,11,5,0,7,6,3,5,7,1,3,2,1,1,5,2,1,3,1,92,60,5,128,118,124108
2024-04-04,4,4,3,14,8,0,6,3,4,3,9,1,2,2,1,1,6,2,1,1,1,73,52,7,131,115,169078
2024-04-05,4,5,4,13,3,1,5,5,3,5,7,1,4,1,1,1,5,2,2,2,1,60,28,5,130,94,138508
2024-04-06,4,6,5,18,9,0,6,4,2,5,5,1,1,1,1,1,5,2,1,1,1,63,37,6,133,116,145394
2024-04-07,4,7,6,19,9,2,2,4,3,3,5,1,3,1,0,0,3,1,1,0,0,66,44,5,128,94,106996
2024-04-08,4,8,0,18,8,1,5,4,5,5,6,2,1,1,1,1,6,2,2,2,1,86,55,9,87,113,138167
2024-04-09,4,9,1,14,8,0,6,4,3,7,8,1,2,2,1,1,4,2,1,1,1,87,52,7,105,120,153528
2024-04-10,4,10,2,12,6,0,6,5,3,6,7,1,3,1,1,1,6,1,2,2,1,80,63,8,116,100,142179
2024-04-11,4,11,3,17,10,0,5,5,2,8,6,2,2,1,1,1,2,2,1,1,1,67,59,8,148,98,147155
2024-04-12,4,12,4,18,8,0,5,2,3,5,7,1,2,2,1,1,6,1,2,2,1,72,63,11,133,96,121556
2024-04-13,4,13,5,17,9,0,6,4,4,6,7,1,2,2,1,1,5,1,1,1,1,87,30,7,139,141,153606
2024-04-14,4,14,6,14,7,1,8,4,4,6,8,2,3,1,1,1,4,1,2,1,1,66,43,5,121,156,113498
2024-04-15,4,15,0,11,4,1,6,4,4,6,5,2,2,1,1,1,7,1,1,1,1,88,48,9,114,111,178894
2024-04-16,4,16,1,10,2,0,6,5,3,5,9,1,2,2,1,1,6,2,2,1,1,99,43,6,122,92,152115
2024-04-17,4,17,2,17,7,1,3,6,5,6,7,2,2,1,1,1,1,2,2,2,1,104,53,11,107,139,145431
2024-04-18,4,18,3,13,5,0,5,4,4,4,6,1,2,2,1,1,4,1,1,1,1,59,50,9,113,116,126333
