date,month,weekday,high_temp,low_temp,weather,ジャーマンドッグ,レタスドッグ,チーズドッグ,生ハムさんど,エビアボカドサンド,トルコライス,カレー,エビグラタン,ミートドリア,ハンバーグドリア,ピザトースト,唐揚げ,フライドポテト,カンノーロ,コーヒーゼリーパフェ,アイスコーヒー,ブレンドコーヒー,沖縄黒糖ラテ,ice_drink_sales,hot_drink_sales,revenue
2024-03-27,3,2,13,6,0,5,5,4,4,7,1,3,1,1,1,4,1,1,2,1,85,44,8,116,95,162870
2024-03-28,3,3,8,2,2,4,3,1,1,5,1,1,0,0,0,4,1,1,0,0,62,49,9,73,94,109135
2024-03-29,3,4,5,-3,0,6,4,5,6,6,1,3,2,1,1,4,1,2,2,1,88,40,5,114,132,148206
2024-03-30,3,5,9,3,1,7,5,3,2,6,2,3,2,1,1,5,1,1,1,1,76,59,7,150,146,134971
2024-03-31,3,6,10,3,1,8,5,3,4,7,1,2,2,1,1,4,1,1,1,1,91,45,7,154,128,139078
2024-04-01,4,0,13,4,1,7,3,4,5,7,1,3,1,1,1,7,1,1,2,1,68,50,9,94,120,189587
2024-04-02,4,1,15,8,1,6,4,4,5,5,1,2,2,1,1,4,2,1,2,1,55,42,8,130,94,152542
2024-04-03,4,2,12,6,1,5,4,5,6,5,1,4,2,1,1,4,2,1,2,1,89,69,9,93,127,163460
2024-04-04,4,3,16,9,0,5,4,3,5,7,1,2,1,1,1,4,2,2,2,1,78,51,9,96,136,149613
2024-04-05,4,4,15,7,0,6,4,4,4,9,2,2,1,1,1,5,2,2,2,1,118,38,7,115,111,135290
2024-04-06,4,5,17,10,0,4,5,4,4,8,1,2,1,1,1,4,2,2,2,1,55,54,11,123,135,140775
2024-04-07,4,6,13,7,1,5,3,3,2,7,1,3,1,1,1,4,1,2,2,1,69,40,8,158,126,169323
2024-04-08,4,0,14,4,1,8,4,4,6,8,1,3,2,1,1,6,1,1,2,1,111,42,7,137,107,165210
2024-04-09,4,1,15,9,0,6,3,3,3,7,1,3,1,1,1,6,1,2,1,1,83,79,7,124,87,161300
2024-04-10,4,2,15,9,0,8,5,5,6,9,2,2,1,1,1,5,2,1,2,1,88,38,7,100,119,173102
2024-04-11,4,3,18,8,0,7,6,5,4,7,2,2,1,1,1,5,1,1,1,1,100,40,7,133,99,157811
2024-04-12,4,4,12,2,0,7,3,2,8,7,2,3,1,1,1,4,2,1,2,1,82,39,8,98,129,149586
2024-04-13,4,5,17,10,0,8,5,3,5,7,2,2,2,1,1,4,2,1,2,1,95,46,6,135,116,148498
2024-04-14,4,6,16,8,0,4,3,2,5,6,1,2,2,1,1,6,1,2,1,1,91,36,8,113,164,153195
2024-04-15,4,0,14,7,1,5,3,4,4,7,2,2,1,1,1,6,1,2,2,1,94,54,7,101,117,139086
2024-04-16,4,1,12,3,2,3,2,3,3,5,1,3,0,0,0,4,1,1,0,0,69,35,5,92,101,127992
2024-04-17,4,2,15,8,0,5,4,5,5,6,2,2,1,1,1,5,1,1,2,1,85,65,6,126,115,155122
2024-04-18,4,3,11,2,0,7,4,4,5,7,1,3,2,1,1,3,1,2,2,1,87,52,9,82,120,170429
2024-04-19,4,4,17,11,0,4,3,5,7,8,1,2,1,1,1,2,2,1,1,1,53,45,8,104,139,168825
2024-04-20,4,5,14,4,0,7,5,3,7,7,2,2,1,1,1,5,1,2,1,1,63,35,8,105,147,137725
2024-04-21,4,6,19,11,0,4,4,4,7,6,1,3,1,1,1,4,2,2,2,1,68,43,4,142,119,146601
2024-04-22,4,0,14,8,1,6,6,5,5,7,2,3,1,1,1,3,1,2,1,1,63,42,9,133,104,154001
2024-04-23,4,1,16,6,1,5,3,1,5,10,1,4,1,1,1,4,2,2,3,1,51,54,8,130,117,166896
2024-04-24,4,2,16,8,1,6,4,3,6,6,1,2,1,1,1,4,2,2,1,1,68,73,9,82,120,129831
2024-04-25,4,3,12,6,1,6,7,3,4,7,1,3,1,1,1,6,2,1,1,1,89,46,8,114,127,129806
2024-04-26,4,4,12,4,0,5,5,3,5,7,2,2,2,1,1,4,2,2,2,1,94,42,8,128,114,164052
2024-04-27,4,5,12,2,1,5,5,4,4,6,1,3,2,1,1,5,1,2,1,1,66,54,6,124,142,136178
2024-04-28,4,6,14,5,1,6,3,3,7,5,1,2,1,1,1,4,1,2,1,1,89,62,7,143,122,152096
2024-04-29,4,0,14,6,0,4,5,1,6,8,1,3,2,1,1,3,1,1,1,1,73,40,9,84,115,141204
2024-04-30,4,1,17,9,1,7,2,5,6,6,2,3,2,1,1,4,1,1,2,1,92,44,10,126,100,140908
2024-05-01,5,2,15,8,0,7,5,2,4,7,1,3,2,1,1,4,2,1,2,1,94,42,7,107,128,167115
2024-05-02,5,3,22,13,0,5,5,3,5,4,2,2,2,1,1,2,2,1,1,1,65,66,6,132,105,164496
2024-05-03,5,4,20,14,0,4,4,4,4,6,2,2,1,1,1,4,2,2,2,1,76,56,7,108,98,176579
2024-05-04,5,5,19,12,0,5,5,5,7,6,2,2,3,1,1,5,1,2,2,1,92,47,11,112,148,141335
2024-05-05,5,6,16,7,0,4,5,5,6,4,1,3,1,1,1,4,1,2,2,1,80,49,9,160,108,111804
2024-05-06,5,0,24,15,2,5,3,2,3,7,1,1,1,0,0,4,1,0,0,0,62,51,7,94,114,142736
2024-05-07,5,1,19,9,2,4,1,3,4,6,0,2,1,0,0,3,1,0,0,0,57,23,4,92,92,128510
2024-05-08,5,2,20,14,0,5,4,5,6,5,1,2,2,1,1,6,1,2,2,1,97,44,9,99,113,116076
2024-05-09,5,3,24,18,0,7,5,2,6,5,2,3,1,1,1,6,2,2,2,1,87,39,7,115,86,152909
2024-05-10,5,4,15,9,1,5,4,4,3,5,2,2,2,1,1,4,1,1,1,1,102,58,8,105,143,165641
2024-05-11,5,5,18,8,0,6,4,4,5,6,1,3,1,1,1,4,2,2,2,1,69,47,7,119,144,155724
2024-05-12,5,6,24,15,0,9,7,2,4,6,1,2,1,1,1,6,2,2,1,1,115,41,8,144,136,187205
2024-05-13,5,0,17,8,1,4,4,3,6,7,2,3,1,1,1,5,1,2,2,1,108,59,3,117,83,135368
2024-05-14,5,1,17,9,0,4,4,4,4,9,1,2,2,1,1,5,1,2,1,1,89,60,7,125,116,153875
2024-05-15,5,2,19,11,0,6,6,4,4,7,1,3,1,1,1,4,2,2,2,1,84,42,8,83,121,151923
2024-05-16,5,3,22,12,0,6,6,4,5,8,2,3,2,1,1,5,1,1,1,1,96,48,10,91,122,157403
2024-05-17,5,4,23,16,0,6,6,3,5,7,2,2,2,1,1,5,1,1,2,1,52,51,6,98,130,113309
2024-05-18,5,5,21,13,1,5,5,3,3,8,1,4,2,1,1,5,2,2,1,1,69,57,8,132,136,173381
2024-05-19,5,6,20,11,1,4,6,3,8,6,1,2,2,1,1,5,2,2,1,1,102,42,6,119,130,158299
2024-05-20,5,0,17,8,0,6,4,2,4,9,2,2,2,1,1,6,2,2,2,1,90,62,7,98,121,121391
2024-05-21,5,1,24,17,1,6,5,4,6,5,1,2,2,1,1,6,2,1,2,1,77,63,5,132,91,154441
2024-05-22,5,2,15,7,0,5,5,4,7,2,2,2,2,1,1,4,2,1,2,1,105,35,8,146,102,152995
2024-05-23,5,3,20,10,0,5,4,4,5,5,2,1,1,1,1,3,2,2,1,1,113,75,10,115,106,146706
2024-05-24,5,4,22,13,0,6,5,4,7,5,1,2,2,1,1,5,1,2,2,1,84,53,8,121,115,165322
2024-05-25,5,5,24,16,0,5,4,5,4,6,2,1,1,1,1,6,1,2,2,1,81,63,10,152,102,149879
2024-05-26,5,6,23,17,2,5,5,2,6,5,0,2,0,0,0,4,1,1,0,0,62,35,8,137,106,132631
2024-05-27,5,0,20,11,1,5,5,5,5,5,2,3,1,1,1,3,1,1,1,1,83,47,6,107,126,147399
2024-05-28,5,1,21,12,0,6,4,3,5,7,2,3,1,1,1,4,1,1,1,1,76,56,10,107,108,146722
2024-05-29,5,2,16,8,1,6,2,4,6,8,1,2,1,1,1,5,2,1,1,1,82,41,8,122,99,149209
2024-05-30,5,3,23,17,0,6,3,4,7,8,1,2,2,1,1,6,2,1,2,1,110,47,5,114,116,173447
2024-05-31,5,4,22,14,1,7,5,3,6,6,2,1,1,1,1,5,2,1,2,1,74,54,10,121,81,169320
2024-06-01,6,5,19,10,0,7,5,5,4,6,3,2,1,1,1,4,1,2,2,1,63,41,9,205,53,140563
2024-06-02,6,6,22,14,0,5,5,2,6,7,2,2,2,1,1,2,2,1,1,1,115,57,4,203,66,135275
2024-06-03,6,0,21,13,1,7,4,4,5,7,2,3,2,1,1,4,2,1,1,1,79,37,6,173,45,160881
2024-06-04,6,1,18,10,0,5,6,2,2,8,2,3,1,1,1,4,2,2,1,1,86,42,8,180,47,171585
2024-06-05,6,2,20,13,1,4,5,3,7,5,3,3,1,1,1,5,2,1,2,1,78,41,9,162,42,131858
2024-06-06,6,3,27,17,0,5,3,4,7,7,2,2,2,1,1,4,2,1,2,1,103,56,9,159,40,137636
2024-06-07,6,4,24,14,1,5,4,4,5,7,1,2,1,1,1,5,1,2,1,1,71,43,7,193,51,154102
2024-06-08,6,5,27,17,2,4,5,2,5,7,0,1,0,0,0,2,0,0,0,0,89,56,5,187,55,137553
2024-06-09,6,6,27,18,1,5,4,3,6,7,1,2,2,1,1,3,2,2,2,1,27,49,8,225,71,160404
2024-06-10,6,0,22,16,0,6,3,4,7,5,2,2,2,1,1,4,1,2,2,1,113,50,9,188,59,134664
2024-06-11,6,1,20,11,1,6,5,3,5,7,2,2,1,1,1,5,2,2,1,1,85,63,6,190,54,147823
2024-06-12,6,2,26,17,0,6,5,4,5,7,2,3,1,1,1,3,2,2,1,1,87,59,8,154,48,136821
