date,month,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-03-27,3,2,10,1,1,27,30,15,37,25,29,28,57,28,43,25,35,43,27,35,52,42,52,55,54,95,82,90,72,47,28,59,59,65,43,38,54,66,53,105,127,900090,150766
2024-03-28,3,3,13,7,0,27,31,24,43,34,34,40,45,38,24,23,25,45,31,39,37,48,54,53,102,79,123,98,85,42,30,52,60,38,40,44,20,69,68,123,106,973230,139714
2024-03-29,3,4,12,4,1,32,28,25,32,49,31,42,55,39,29,23,31,40,33,28,37,29,45,42,82,95,74,87,86,36,31,55,49,47,60,27,55,47,94,114,85,920480,167207
2024-03-30,3,5,13,6,0,27,33,24,38,39,44,58,57,35,32,17,40,54,45,62,35,51,29,48,69,98,73,49,70,39,41,62,60,43,32,33,45,118,83,132,154,951450,159276
2024-03-31,3,6,14,5,0,37,36,35,30,53,43,40,45,26,36,21,24,51,29,51,51,44,39,44,81,94,112,97,93,32,31,52,63,47,39,36,51,46,71,109,143,975500,135711
2024-04-01,4,0,18,8,0,34,37,28,48,45,27,41,39,25,38,25,29,37,28,59,67,38,29,70,103,60,87,90,83,30,41,56,64,35,33,40,38,65,73,98,103,940690,131977
2024-04-02,4,1,17,8,0,23,36,22,34,39,28,42,48,21,29,24,30,50,34,36,42,48,29,44,95,82,71,111,125,28,23,55,53,38,32,34,55,87,68,119,98,967690,167458
2024-04-03,4,2,19,10,0,20,29,23,57,42,39,44,49,32,39,29,32,51,40,62,42,49,41,47,120,87,95,132,110,31,32,55,49,34,29,32,34,73,85,112,91,1058410,167408
2024-04-04,4,3,18,11,1,26,35,46,24,29,43,35,49,35,28,24,39,37,32,46,41,42,42,44,116,100,86,119,75,34,20,53,64,34,28,32,47,61,62,140,99,966760,131189
2024-04-05,4,4,17,11,2,21,19,28,31,30,33,29,39,21,28,22,25,36,33,32,34,38,38,43,88,86,66,90,71,22,15,48,38,32,38,24,47,71,64,75,99,823180,142133
2024-04-06,4,5,12,6,1,22,33,22,36,36,33,43,53,25,61,16,31,54,32,38,30,50,24,64,117,98,92,71,72,42,27,58,55,53,49,36,45,72,46,123,136,951140,175479
2024-04-07,4,6,13,6,0,31,21,22,38,32,40,41,35,19,31,26,35,38,37,40,39,47,57,49,104,111,92,54,119,37,31,53,57,46,44,34,37,78,87,145,108,989380,122954
2024-04-08,4,0,15,7,2,27,28,31,36,39,31,49,41,35,41,22,26,35,43,35,44,42,42,42,86,87,85,76,85,38,26,52,70,52,31,32,48,88,76,82,117,941910,130150
2024-04-09,4,1,14,6,2,23,23,27,28,16,44,46,39,22,31,32,28,33,37,43,36,38,31,35,99,93,90,46,70,37,22,50,51,32,38,38,22,76,75,114,82,855610,117335
2024-04-10,4,2,14,6,0,26,23,28,28,26,50,34,46,28,26,31,33,32,41,43,39,48,44,41,120,90,63,52,112,52,28,62,41,29,45,38,51,46,90,91,129,922220,145278
2024-04-11,4,3,11,3,0,35,26,37,53,28,23,44,65,31,33,23,25,42,48,32,41,47,30,41,99,133,122,74,72,25,31,64,54,46,48,38,55,80,63,112,107,1014240,145011
2024-04-12,4,4,18,9,0,37,37,39,41,35,32,47,38,27,44,31,20,29,41,49,46,48,52,54,98,75,96,86,128,35,23,53,86,40,43,40,48,98,83,105,114,1043450,127767
