date,month,day,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-03-27,3,27,2,8,0,0,31,24,43,34,45,34,51,65,28,44,33,33,25,40,38,46,49,39,39,78,105,88,71,104,42,26,57,65,26,32,31,46,89,83,136,98,981960,154673
2024-03-28,3,28,3,11,3,0,39,28,24,31,42,36,30,63,34,33,27,28,30,45,34,41,39,43,52,74,94,88,98,99,25,24,49,38,34,35,48,53,66,61,99,109,924280,136548
2024-03-29,3,29,4,8,-1,0,31,20,29,34,42,46,34,47,27,38,30,33,41,47,43,34,47,27,23,80,82,68,68,92,44,30,42,59,27,24,20,41,76,105,119,83,890700,150578
2024-03-30,3,30,5,13,5,0,22,27,30,40,30,39,50,65,32,39,25,34,39,43,33,39,25,35,44,98,108,87,85,75,28,31,24,42,52,41,36,58,73,75,152,134,940670,148553
2024-03-31,3,31,6,5,-4,0,29,29,27,37,43,29,40,71,31,27,23,34,35,39,35,45,54,38,62,93,111,56,84,54,30,24,40,73,36,45,41,41,78,96,133,160,942060,131890
2024-04-01,4,1,0,10,0,2,31,27,25,22,34,37,30,37,28,29,22,21,24,35,27,37,44,35,39,43,71,70,61,70,33,22,31,58,35,34,22,38,76,59,80,92,744790,132062
2024-04-02,4,2,1,15,5,2,19,34,31,40,20,34,46,29,18,40,23,23,40,18,23,34,40,29,46,58,42,85,37,89,36,23,47,45,39,19,35,41,53,64,75,95,732490,138086
2024-04-03,4,3,2,13,5,1,36,42,30,37,30,49,35,63,27,44,25,31,34,36,43,34,41,44,44,85,97,87,70,89,34,37,51,63,35,55,41,31,99,53,104,140,949150,128115
2024-04-04,4,4,3,15,6,0,40,23,34,44,30,37,28,40,39,42,35,29,37,49,57,49,36,38,46,134,104,102,106,96,20,39,53,50,43,31,40,60,107,65,119,96,1068780,150453
2024-04-05,4,5,4,13,5,1,13,23,27,42,33,48,36,39,43,23,19,31,32,38,48,49,54,45,37,84,89,131,94,112,39,24,53,52,45,39,37,31,67,118,91,120,1023990,186681
