month,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
3,2,10,3,1,23,24,34,37,30,37,32,68,23,24,23,25,34,36,41,29,49,33,42,92,109,102,89,90,35,17,60,59,43,34,42,48,72,80,99,113,972210,142481
3,3,8,0,0,29,31,18,22,45,40,42,45,26,42,21,22,50,28,32,54,33,34,52,96,82,116,71,72,42,32,67,55,32,38,39,39,57,98,115,102,942510,113677
3,4,13,4,1,38,23,37,38,47,35,43,31,29,40,24,25,37,31,51,48,52,33,34,92,64,63,69,98,28,26,59,40,41,36,43,28,98,71,137,95,891060,138912
3,5,8,1,0,37,33,22,33,35,40,49,61,26,41,24,35,44,31,23,44,41,50,43,97,117,111,80,83,36,28,68,64,41,55,23,39,71,95,123,130,1021100,164998
3,6,7,1,1,29,27,42,27,35,44,42,28,45,28,20,24,58,35,42,49,38,34,45,84,111,118,88,80,27,30,65,71,55,40,44,42,104,47,139,116,1000530,152058
4,0,19,10,0,23,25,36,28,30,39,45,52,32,32,26,36,33,47,48,43,24,46,63,58,92,65,99,88,31,34,44,26,48,37,28,32,53,65,105,114,860090,178782
4,1,12,3,0,20,23,31,23,43,36,46,41,19,47,35,33,42,37,29,43,44,45,48,91,127,101,94,71,29,24,61,36,31,47,35,62,81,83,92,133,989730,167689
4,2,10,2,2,25,27,27,36,34,35,41,43,23,18,18,25,37,43,35,28,35,33,31,62,50,86,70,73,30,15,49,39,32,34,28,35,65,70,96,78,769010,109068
4,3,10,3,0,13,40,21,40,42,29,49,47,24,39,20,39,43,46,43,39,42,48,40,97,89,121,76,81,38,40,67,50,50,36,35,38,81,80,128,109,989150,100000
4,4,15,8,0,25,35,37,40,57,31,47,41,22,49,33,19,38,45,30,41,52,30,39,134,113,96,78,99,41,31,60,57,46,36,25,43,90,114,125,111,1070810,156705
4,5,18,9,1,28,31,12,55,23,34,29,58,17,39,27,40,52,32,36,45,47,32,48,127,97,73,55,138,35,21,59,41,41,45,28,35,93,83,143,106,996580,142179
4,6,16,6,1,29,29,25,36,44,37,45,50,22,35,22,21,24,44,46,25,39,40,46,101,74,105,104,71,34,32,36,51,51,35,36,47,78,72,118,166,937850,135490
4,0,19,10,0,24,27,24,30,45,41,39,45,36,37,23,29,44,28,52,38,50,48,47,87,77,107,77,87,40,33,41,49,41,43,29,34,69,61,109,139,916350,126059
4,1,16,10,0,30,27,37,35,39,44,49,55,30,32,24,33,44,49,42,47,47,38,53,101,100,89,59,85,40,30,56,69,49,35,33,41,106,91,109,116,1012340,141707
4,2,12,3,1,33,37,26,40,46,36,50,51,24,32,16,36,44,44,45,51,55,41,60,101,57,69,94,61,40,19,73,46,32,38,27,61,76,86,122,90,935710,161122
4,3,17,9,1,28,39,30,37,43,44,39,45,34,47,29,32,46,33,44,52,31,46,59,91,81,124,61,105,43,27,67,53,45,38,28,39,78,88,95,124,1005020,161452
4,4,18,8,1,31,31,36,43,43,30,44,60,21,44,27,35,53,44,45,37,22,33,44,98,77,128,90,112,43,23,61,31,37,51,26,36,89,63,114,122,1001880,163007
4,5,19,13,0,20,41,30,45,45,40,44,49,23,36,34,29,30,33,49,41,48,34,46,105,87,101,92,71,36,26,56,65,57,25,50,56,75,67,122,169,979530,154328
4,6,12,5,0,25,36,40,36,19,43,50,60,27,36,24,32,41,39,40,42,33,44,50,107,75,109,91,74,37,32,49,38,32,32,29,40,80,67,127,133,944280,170026
4,0,19,12,0,28,10,20,42,45,32,29,45,29,37,21,34,26,40,45,57,58,30,61,77,112,78,102,106,47,26,65,59,41,41,41,46,62,56,98,115,967060,148960
4,1,15,9,0,20,27,34,43,33,40,46,72,35,44,19,34,21,34,43,35,55,40,40,104,58,102,93,115,39,36,60,36,39,44,31,34,82,93,109,105,991720,163594
4,2,18,10,0,24,35,36,32,48,43,40,53,21,28,30,31,35,37,45,53,38,32,43,99,89,98,74,124,48,24,42,61,35,37,39,60,100,93,90,125,1025230,163988
4,3,10,0,0,26,26,33,25,32,28,37,62,28,44,23,28,43,44,47,44,43,39,36,91,96,80,85,109,33,36,55,54,42,44,23,39,72,74,92,137,954670,156047
4,4,16,9,0,29,18,28,34,23,33,39,31,25,48,26,24,34,40,40,40,39,34,37,103,85,112,61,94,25,31,50,59,47,41,30,38,90,62,114,102,926320,141929
4,5,15,6,0,36,34,25,35,47,51,45,41,29,46,29,21,39,48,35,35,51,41,51,111,73,88,56,81,46,36,45,56,42,16,34,51,64,74,141,148,919280,151029
4,6,16,8,0,26,16,28,38,31,39,32,58,43,30,29,21,43,35,48,51,51,38,43,95,100,113,100,94,39,25,58,60,61,40,44,35,70,76,155,143,1015090,135779
4,0,10,0,1,25,34,30,23,37,39,49,65,30,48,23,25,36,41,41,31,48,35,62,128,80,93,104,77,37,26,60,49,39,48,29,35,89,82,115,133,1009800,147748
4,1,17,8,1,38,34,30,36,41,40,39,33,32,34,24,29,54,35,41,44,50,38,33,95,78,95,62,91,37,34,50,65,35,28,41,57,48,81,95,122,916830,129929
4,2,14,6,0,28,19,29,41,42,50,39,45,29,44,26,27,49,42,42,35,24,44,57,81,101,100,69,77,38,25,54,58,35,35,37,45,112,86,128,99,977520,161379
4,3,15,9,0,30,28,27,40,38,49,47,34,28,48,21,27,48,43,41,36,58,25,50,134,121,56,91,101,34,22,60,56,38,40,25,43,90,92,97,136,1034400,131917
4,4,17,10,2,32,19,27,34,39,39,38,47,25,39,17,24,34,33,29,26,35,41,39,114,57,65,74,83,27,15,46,43,42,32,39,36,54,66,89,103,823280,116082
4,5,18,11,1,28,36,30,30,43,35,40,52,30,45,31,22,48,43,47,49,52,36,54,97,54,116,59,70,30,39,67,36,46,40,29,37,94,39,113,158,909040,158591
4,6,12,4,0,27,28,41,33,38,41,41,47,26,42,20,39,43,37,48,44,44,50,56,107,81,92,99,100,36,25,39,51,24,34,47,40,101,80,118,146,1005210,138815
4,0,10,4,1,44,24,35,57,55,38,31,47,31,41,29,21,37,48,34,40,25,27,55,70,104,93,116,76,28,30,75,57,51,44,28,42,90,104,122,102,1015370,118453
4,1,13,4,1,23,20,21,42,44,35,43,50,36,42,22,31,43,34,44,25,45,36,52,94,108,107,95,89,53,40,60,36,49,37,21,32,57,77,111,136,974390,147959
5,2,24,14,1,33,21,30,34,37,38,41,59,35,28,34,25,40,42,62,51,46,34,52,93,43,97,65,60,26,31,55,59,33,38,41,44,102,88,107,92,918700,148223
5,3,24,14,1,32,18,24,31,32,34,53,38,30,30,25,29,54,42,47,36,50,23,22,108,94,71,73,100,41,23,45,31,55,34,26,35,51,105,86,117,914590,175968
5,4,21,13,0,36,19,34,45,42,38,30,62,22,33,26,19,43,44,48,50,50,47,69,101,81,74,103,95,41,28,60,46,35,30,34,41,68,101,139,103,992330,157319
5,5,16,10,2,33,29,19,34,20,27,31,46,29,28,24,23,26,43,35,45,40,35,47,67,73,47,82,62,32,22,64,43,34,24,24,45,77,63,103,115,786560,134451
5,6,21,11,0,34,22,24,41,24,56,42,46,33,41,25,32,38,34,50,56,39,46,29,97,83,93,93,110,46,31,51,46,49,35,39,35,83,69,129,121,979960,146862
5,0,23,16,0,26,24,21,37,50,51,41,41,37,31,27,33,22,45,27,43,42,48,45,137,115,81,61,84,23,26,43,76,25,31,31,53,58,103,104,98,980600,138653
5,1,20,12,0,29,29,44,49,25,55,51,40,34,37,30,34,37,34,52,41,56,28,38,93,106,83,73,86,28,13,36,49,58,40,45,47,81,73,94,120,956340,178333
