date,month,day,weekday,high_temp,low_temp,weather,ジャーマンドッグ,レタスドッグ,チーズドッグ,生ハムさんど,エビアボカドサンド,トルコライス,カレー,エビグラタン,ミートドリア,ハンバーグドリア,ピザトースト,唐揚げ,フライドポテト,カンノーロ,コーヒーゼリーパフェ,アイスコーヒー,ブレンドコーヒー,沖縄黒糖ラテ,ice_drink_sales,hot_drink_sales,revenue
2024-03-27,3,27,2,11,2,0,5,5,4,6,7,1,3,1,1,1,5,2,2,1,1,65,52,4,90,118,170047
2024-03-28,3,28,3,13,3,1,5,5,4,5,7,1,2,1,1,1,3,2,2,1,1,107,41,8,121,90,128356
2024-03-29,3,29,4,10,2,0,6,2,3,3,8,1,2,2,1,1,3,1,3,2,1,88,54,7,104,114,163960
2024-03-30,3,30,5,10,3,0,5,4,4,6,6,2,2,2,1,1,5,1,2,1,1,74,52,9,143,106,169884
2024-03-31,3,31,6,11,4,1,5,3,4,4,6,2,4,2,1,1,4,2,1,1,1,95,66,9,162,108,122435
2024-04-01,4,1,0,19,9,0,4,5,3,4,5,1,2,1,1,1,6,2,1,1,1,125,72,10,125,123,173906
2024-04-02,4,2,1,10,0,0,6,6,5,6,7,1,2,1,1,1,6,1,2,1,1,88,42,6,135,98,128821
2024-04-03,4,3,2,16,10,2,4,3,3,3,6,1,2,1,0,0,5,0,0,0,0,68,38,4,90,105,128773
2024-04-04,4,4,3,10,0,2,5,3,3,4,4,1,2,0,0,0,3,0,1,1,0,56,37,3,110,89,113304
2024-04-05,4,5,4,18,11,1,8,4,3,5,2,2,2,1,1,1,4,2,2,2,1,91,39,8,89,122,149237
2024-04-06,4,6,5,14,4,0,4,6,4,5,9,1,4,1,1,1,4,1,2,2,1,107,35,3,136,130,148843
2024-04-07,4,7,6,14,6,1,5,6,3,4,7,2,4,1,1,1,4,2,2,2,1,106,44,8,154,108,183068
2024-04-08,4,8,0,13,5,1,7,3,5,4,5,2,3,2,1,1,5,2,1,1,1,56,37,11,99,128,154729
2024-04-09,4,9,1,17,7,2,4,3,3,5,3,0,2,1,0,0,4,0,1,0,0,63,42,6,80,105,136123
2024-04-10,4,10,2,13,3,1,6,4,4,3,6,2,3,2,1,1,5,1,2,2,1,110,48,6,106,93,165194
2024-04-11,4,11,3,16,10,1,4,5,4,4,9,2,2,2,1,1,4,1,2,1,1,67,43,8,101,123,146207
2024-04-12,4,12,4,19,10,0,5,5,4,6,6,1,3,1,1,1,5,2,2,1,1,75,43,6,120,115,186323
2024-04-13,4,13,5,14,8,0,6,2,2,5,8,1,2,1,1,1,4,1,2,1,1,52,55,9,151,140,132112
2024-04-14,4,14,6,12,3,1,6,6,4,4,7,1,4,2,1,1,3,1,1,1,1,82,61,5,150,139,126382
2024-04-15,4,15,0,12,5,0,4,6,4,4,7,1,3,1,1,1,6,2,1,1,1,57,40,8,123,120,169113
2024-04-16,4,16,1,17,8,2,4,4,3,4,4,0,1,1,0,0,4,0,0,0,0,28,50,7,110,76,122580
2024-04-17,4,17,2,16,8,0,3,5,3,4,7,2,2,2,1,1,5,2,1,2,1,56,44,9,116,111,163305
2024-04-18,4,18,3,19,13,0,3,4,3,4,7,2,2,1,1,1,3,1,1,1,1,69,47,6,144,102,150213
2024-04-19,4,19,4,13,6,1,6,4,2,5,7,1,3,1,1,1,5,2,2,1,1,102,57,9,107,137,142233
2024-04-20,4,20,5,17,8,0,6,3,4,6,6,1,2,1,1,1,4,2,1,1,1,103,65,11,142,130,154329
2024-04-21,4,21,6,15,9,0,5,4,3,4,6,2,3,1,1,1,4,1,2,2,1,84,33,10,148,146,145236
2024-04-22,4,22,0,17,7,1,6,5,3,7,7,1,3,1,1,1,4,1,2,1,1,91,61,9,128,92,146460
2024-04-23,4,23,1,17,7,1,7,2,2,7,8,1,3,1,1,1,7,1,1,2,1,88,36,9,100,129,154641
2024-04-24,4,24,2,10,3,0,5,5,3,4,6,2,3,1,1,1,5,2,1,2,1,97,44,7,113,123,164406
